territorio,nazionalità_utente,modalità_conoscenza_1522,periodo,numero_vittime
abruzzo,estero,altro,2015,1
abruzzo,estero,altro,2016,4
abruzzo,estero,altro,2017,2
abruzzo,estero,altro,2018,2
abruzzo,estero,altro,2019,6
abruzzo,estero,altro,2020,8
abruzzo,estero,altro,2021,8
abruzzo,estero,altro,2022,6
abruzzo,estero,altro,2023,18
abruzzo,estero,altro,2024,6
abruzzo,estero,digitale,2015,51
abruzzo,estero,digitale,2016,59
abruzzo,estero,digitale,2017,74
abruzzo,estero,digitale,2018,89
abruzzo,estero,digitale,2019,145
abruzzo,estero,digitale,2020,96
abruzzo,estero,digitale,2021,111
abruzzo,estero,digitale,2022,147
abruzzo,estero,digitale,2023,216
abruzzo,estero,digitale,2024,160
abruzzo,estero,media_tradizionali,2015,129
abruzzo,estero,media_tradizionali,2016,86
abruzzo,estero,media_tradizionali,2017,64
abruzzo,estero,media_tradizionali,2018,109
abruzzo,estero,media_tradizionali,2019,63
abruzzo,estero,media_tradizionali,2020,112
abruzzo,estero,media_tradizionali,2021,75
abruzzo,estero,media_tradizionali,2022,71
abruzzo,estero,media_tradizionali,2023,146
abruzzo,estero,media_tradizionali,2024,410
abruzzo,estero,non_risposta,2015,317
abruzzo,estero,non_risposta,2016,277
abruzzo,estero,non_risposta,2017,234
abruzzo,estero,non_risposta,2018,327
abruzzo,estero,non_risposta,2019,234
abruzzo,estero,non_risposta,2020,284
abruzzo,estero,non_risposta,2021,364
abruzzo,estero,non_risposta,2022,276
abruzzo,estero,non_risposta,2023,337
abruzzo,estero,non_risposta,2024,214
abruzzo,estero,rete_personale,2015,8
abruzzo,estero,rete_personale,2016,19
abruzzo,estero,rete_personale,2017,24
abruzzo,estero,rete_personale,2018,29
abruzzo,estero,rete_personale,2019,20
abruzzo,estero,rete_personale,2020,26
abruzzo,estero,rete_personale,2021,46
abruzzo,estero,rete_personale,2022,34
abruzzo,estero,rete_personale,2023,32
abruzzo,estero,rete_personale,2024,17
abruzzo,estero,servizi_istituzioni,2015,35
abruzzo,estero,servizi_istituzioni,2016,35
abruzzo,estero,servizi_istituzioni,2017,32
abruzzo,estero,servizi_istituzioni,2018,39
abruzzo,estero,servizi_istituzioni,2019,43
abruzzo,estero,servizi_istituzioni,2020,30
abruzzo,estero,servizi_istituzioni,2021,21
abruzzo,estero,servizi_istituzioni,2022,30
abruzzo,estero,servizi_istituzioni,2023,62
abruzzo,estero,servizi_istituzioni,2024,42
abruzzo,italia,altro,2015,1
abruzzo,italia,altro,2016,2
abruzzo,italia,altro,2018,2
abruzzo,italia,altro,2019,6
abruzzo,italia,altro,2020,8
abruzzo,italia,altro,2021,8
abruzzo,italia,altro,2022,6
abruzzo,italia,altro,2023,16
abruzzo,italia,altro,2024,4
abruzzo,italia,digitale,2015,51
abruzzo,italia,digitale,2016,49
abruzzo,italia,digitale,2017,56
abruzzo,italia,digitale,2018,73
abruzzo,italia,digitale,2019,107
abruzzo,italia,digitale,2020,88
abruzzo,italia,digitale,2021,91
abruzzo,italia,digitale,2022,127
abruzzo,italia,digitale,2023,176
abruzzo,italia,digitale,2024,144
abruzzo,italia,media_tradizionali,2015,115
abruzzo,italia,media_tradizionali,2016,70
abruzzo,italia,media_tradizionali,2017,52
abruzzo,italia,media_tradizionali,2018,89
abruzzo,italia,media_tradizionali,2019,55
abruzzo,italia,media_tradizionali,2020,96
abruzzo,italia,media_tradizionali,2021,71
abruzzo,italia,media_tradizionali,2022,65
abruzzo,italia,media_tradizionali,2023,134
abruzzo,italia,media_tradizionali,2024,360
abruzzo,italia,non_risposta,2015,269
abruzzo,italia,non_risposta,2016,243
abruzzo,italia,non_risposta,2017,208
abruzzo,italia,non_risposta,2018,297
abruzzo,italia,non_risposta,2019,194
abruzzo,italia,non_risposta,2020,266
abruzzo,italia,non_risposta,2021,326
abruzzo,italia,non_risposta,2022,242
abruzzo,italia,non_risposta,2023,293
abruzzo,italia,non_risposta,2024,194
abruzzo,italia,rete_personale,2015,4
abruzzo,italia,rete_personale,2016,13
abruzzo,italia,rete_personale,2017,18
abruzzo,italia,rete_personale,2018,19
abruzzo,italia,rete_personale,2019,12
abruzzo,italia,rete_personale,2020,14
abruzzo,italia,rete_personale,2021,26
abruzzo,italia,rete_personale,2022,22
abruzzo,italia,rete_personale,2023,22
abruzzo,italia,rete_personale,2024,17
abruzzo,italia,servizi_istituzioni,2015,23
abruzzo,italia,servizi_istituzioni,2016,29
abruzzo,italia,servizi_istituzioni,2017,24
abruzzo,italia,servizi_istituzioni,2018,31
abruzzo,italia,servizi_istituzioni,2019,35
abruzzo,italia,servizi_istituzioni,2020,24
abruzzo,italia,servizi_istituzioni,2021,19
abruzzo,italia,servizi_istituzioni,2022,28
abruzzo,italia,servizi_istituzioni,2023,52
abruzzo,italia,servizi_istituzioni,2024,36
basilicata,estero,altro,2018,1
basilicata,estero,altro,2019,1
basilicata,estero,altro,2021,3
basilicata,estero,altro,2022,4
basilicata,estero,altro,2023,2
basilicata,estero,altro,2024,2
basilicata,estero,digitale,2015,6
basilicata,estero,digitale,2016,17
basilicata,estero,digitale,2017,20
basilicata,estero,digitale,2018,26
basilicata,estero,digitale,2019,45
basilicata,estero,digitale,2020,32
basilicata,estero,digitale,2021,31
basilicata,estero,digitale,2022,48
basilicata,estero,digitale,2023,72
basilicata,estero,digitale,2024,35
basilicata,estero,media_tradizionali,2015,45
basilicata,estero,media_tradizionali,2016,22
basilicata,estero,media_tradizionali,2017,20
basilicata,estero,media_tradizionali,2018,36
basilicata,estero,media_tradizionali,2019,25
basilicata,estero,media_tradizionali,2020,33
basilicata,estero,media_tradizionali,2021,23
basilicata,estero,media_tradizionali,2022,28
basilicata,estero,media_tradizionali,2023,58
basilicata,estero,media_tradizionali,2024,97
basilicata,estero,non_risposta,2015,51
basilicata,estero,non_risposta,2016,45
basilicata,estero,non_risposta,2017,56
basilicata,estero,non_risposta,2018,65
basilicata,estero,non_risposta,2019,69
basilicata,estero,non_risposta,2020,89
basilicata,estero,non_risposta,2021,120
basilicata,estero,non_risposta,2022,75
basilicata,estero,non_risposta,2023,112
basilicata,estero,non_risposta,2024,76
basilicata,estero,rete_personale,2015,2
basilicata,estero,rete_personale,2016,6
basilicata,estero,rete_personale,2017,4
basilicata,estero,rete_personale,2018,8
basilicata,estero,rete_personale,2019,15
basilicata,estero,rete_personale,2020,3
basilicata,estero,rete_personale,2021,15
basilicata,estero,rete_personale,2022,15
basilicata,estero,rete_personale,2023,6
basilicata,estero,rete_personale,2024,5
basilicata,estero,servizi_istituzioni,2015,6
basilicata,estero,servizi_istituzioni,2016,7
basilicata,estero,servizi_istituzioni,2017,8
basilicata,estero,servizi_istituzioni,2018,10
basilicata,estero,servizi_istituzioni,2019,10
basilicata,estero,servizi_istituzioni,2020,4
basilicata,estero,servizi_istituzioni,2021,4
basilicata,estero,servizi_istituzioni,2022,7
basilicata,estero,servizi_istituzioni,2023,15
basilicata,estero,servizi_istituzioni,2024,16
basilicata,italia,altro,2018,1
basilicata,italia,altro,2019,1
basilicata,italia,altro,2021,1
basilicata,italia,altro,2022,4
basilicata,italia,altro,2023,2
basilicata,italia,altro,2024,2
basilicata,italia,digitale,2015,6
basilicata,italia,digitale,2016,15
basilicata,italia,digitale,2017,20
basilicata,italia,digitale,2018,26
basilicata,italia,digitale,2019,37
basilicata,italia,digitale,2020,28
basilicata,italia,digitale,2021,31
basilicata,italia,digitale,2022,44
basilicata,italia,digitale,2023,64
basilicata,italia,digitale,2024,31
basilicata,italia,media_tradizionali,2015,37
basilicata,italia,media_tradizionali,2016,22
basilicata,italia,media_tradizionali,2017,20
basilicata,italia,media_tradizionali,2018,36
basilicata,italia,media_tradizionali,2019,23
basilicata,italia,media_tradizionali,2020,29
basilicata,italia,media_tradizionali,2021,23
basilicata,italia,media_tradizionali,2022,28
basilicata,italia,media_tradizionali,2023,54
basilicata,italia,media_tradizionali,2024,91
basilicata,italia,non_risposta,2015,43
basilicata,italia,non_risposta,2016,37
basilicata,italia,non_risposta,2017,50
basilicata,italia,non_risposta,2018,59
basilicata,italia,non_risposta,2019,53
basilicata,italia,non_risposta,2020,87
basilicata,italia,non_risposta,2021,106
basilicata,italia,non_risposta,2022,71
basilicata,italia,non_risposta,2023,108
basilicata,italia,non_risposta,2024,70
basilicata,italia,rete_personale,2015,2
basilicata,italia,rete_personale,2016,6
basilicata,italia,rete_personale,2017,4
basilicata,italia,rete_personale,2018,4
basilicata,italia,rete_personale,2019,11
basilicata,italia,rete_personale,2020,3
basilicata,italia,rete_personale,2021,11
basilicata,italia,rete_personale,2022,11
basilicata,italia,rete_personale,2023,6
basilicata,italia,rete_personale,2024,5
basilicata,italia,servizi_istituzioni,2015,6
basilicata,italia,servizi_istituzioni,2016,5
