territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
italia,maschi,estero,trasferito servizio,2015,1337
italia,maschi,estero,trasferito servizio,2016,1077
italia,maschi,estero,trasferito servizio,2017,1093
italia,maschi,estero,trasferito servizio,2018,864
italia,maschi,estero,trasferito servizio,2019,874
italia,maschi,estero,trasferito servizio,2020,1197
italia,maschi,estero,trasferito servizio,2021,875
italia,maschi,estero,trasferito servizio,2022,667
italia,maschi,estero,trasferito servizio,2023,1717
italia,maschi,estero,trasferito servizio,2024,2573
italia,maschi,estero,non trasferito servizio,2015,864
italia,maschi,estero,non trasferito servizio,2016,613
italia,maschi,estero,non trasferito servizio,2017,1026
italia,maschi,estero,non trasferito servizio,2018,1693
italia,maschi,estero,non trasferito servizio,2019,1468
italia,maschi,estero,non trasferito servizio,2020,2206
italia,maschi,estero,non trasferito servizio,2021,3133
italia,maschi,estero,non trasferito servizio,2022,3181
italia,maschi,estero,non trasferito servizio,2023,4437
italia,maschi,estero,non trasferito servizio,2024,5705
italia,maschi,estero,chiamate valide,2015,2201
italia,maschi,estero,chiamate valide,2016,1690
italia,maschi,estero,chiamate valide,2017,2119
italia,maschi,estero,chiamate valide,2018,2557
italia,maschi,estero,chiamate valide,2019,2342
italia,maschi,estero,chiamate valide,2020,3403
italia,maschi,estero,chiamate valide,2021,4008
italia,maschi,estero,chiamate valide,2022,3848
italia,maschi,estero,chiamate valide,2023,6154
italia,maschi,estero,chiamate valide,2024,8278
italia,maschi,estero,richiesto intervento del 118,2019,1
italia,maschi,estero,richiesto intervento del 118,2023,9
italia,maschi,estero,richiesto intervento del 118,2024,26
italia,maschi,estero,richiesto intervento del 112,2015,15
italia,maschi,estero,richiesto intervento del 112,2016,6
italia,maschi,estero,richiesto intervento del 112,2017,11
italia,maschi,estero,richiesto intervento del 112,2018,9
italia,maschi,estero,richiesto intervento del 112,2019,9
italia,maschi,estero,richiesto intervento del 112,2020,4
italia,maschi,estero,richiesto intervento del 112,2022,1
italia,maschi,estero,richiesto intervento del 112,2023,412
italia,maschi,estero,richiesto intervento del 112,2024,836
italia,maschi,estero,richiesto intervento del 113,2015,9
italia,maschi,estero,richiesto intervento del 113,2016,3
italia,maschi,estero,richiesto intervento del 113,2017,11
italia,maschi,estero,richiesto intervento del 113,2018,8
italia,maschi,estero,richiesto intervento del 113,2019,8
italia,maschi,estero,richiesto intervento del 113,2020,2
italia,maschi,estero,richiesto intervento del 113,2021,1
italia,maschi,estero,richiesto intervento del 113,2023,461
italia,maschi,estero,richiesto intervento del 113,2024,954
italia,maschi,estero,trasferito servizio,2015,51
italia,maschi,estero,trasferito servizio,2016,41
italia,maschi,estero,trasferito servizio,2017,41
italia,maschi,estero,trasferito servizio,2018,28
italia,maschi,estero,trasferito servizio,2019,27
italia,maschi,estero,trasferito servizio,2020,57
italia,maschi,estero,trasferito servizio,2021,36
italia,maschi,estero,trasferito servizio,2022,24
italia,maschi,estero,trasferito servizio,2023,60
italia,maschi,estero,trasferito servizio,2024,82
italia,maschi,estero,non trasferito servizio,2015,22
italia,maschi,estero,non trasferito servizio,2016,27
italia,maschi,estero,non trasferito servizio,2017,31
italia,maschi,estero,non trasferito servizio,2018,47
italia,maschi,estero,non trasferito servizio,2019,39
italia,maschi,estero,non trasferito servizio,2020,56
italia,maschi,estero,non trasferito servizio,2021,83
italia,maschi,estero,non trasferito servizio,2022,95
italia,maschi,estero,non trasferito servizio,2023,73
italia,maschi,estero,non trasferito servizio,2024,90
italia,maschi,estero,chiamate valide,2015,73
italia,maschi,estero,chiamate valide,2016,68
italia,maschi,estero,chiamate valide,2017,72
italia,maschi,estero,chiamate valide,2018,75
italia,maschi,estero,chiamate valide,2019,66
italia,maschi,estero,chiamate valide,2020,113
italia,maschi,estero,chiamate valide,2021,119
italia,maschi,estero,chiamate valide,2022,119
italia,maschi,estero,chiamate valide,2023,133
italia,maschi,estero,chiamate valide,2024,172
italia,maschi,estero,richiesto intervento del 118,2023,1
italia,maschi,estero,richiesto intervento del 118,2024,1
italia,maschi,estero,richiesto intervento del 112,2017,1
italia,maschi,estero,richiesto intervento del 112,2018,1
italia,maschi,estero,richiesto intervento del 112,2020,1
italia,maschi,estero,richiesto intervento del 112,2023,13
italia,maschi,estero,richiesto intervento del 112,2024,35
italia,maschi,estero,richiesto intervento del 113,2017,1
italia,maschi,estero,richiesto intervento del 113,2018,1
italia,maschi,estero,richiesto intervento del 113,2019,1
italia,maschi,estero,richiesto intervento del 113,2020,1
italia,maschi,estero,richiesto intervento del 113,2023,14
italia,maschi,estero,richiesto intervento del 113,2024,36
italia,maschi,italia,trasferito servizio,2015,1286
italia,maschi,italia,trasferito servizio,2016,1036
italia,maschi,italia,trasferito servizio,2017,1052
italia,maschi,italia,trasferito servizio,2018,836
italia,maschi,italia,trasferito servizio,2019,847
italia,maschi,italia,trasferito servizio,2020,1140
italia,maschi,italia,trasferito servizio,2021,839
italia,maschi,italia,trasferito servizio,2022,643
italia,maschi,italia,trasferito servizio,2023,1657
italia,maschi,italia,trasferito servizio,2024,2491
italia,maschi,italia,non trasferito servizio,2015,842
italia,maschi,italia,non trasferito servizio,2016,586
italia,maschi,italia,non trasferito servizio,2017,995
italia,maschi,italia,non trasferito servizio,2018,1645
italia,maschi,italia,non trasferito servizio,2019,1429
italia,maschi,italia,non trasferito servizio,2020,2150
italia,maschi,italia,non trasferito servizio,2021,3050
