territorio,motivo_chiamata,sesso,nazionalità_utente,periodo,numero_vittime
italia,richiesta di aiuto vittima di stalking,maschi,estero,2015,101
italia,richiesta di aiuto vittima di stalking,maschi,estero,2016,136
italia,richiesta di aiuto vittima di stalking,maschi,estero,2017,109
italia,richiesta di aiuto vittima di stalking,maschi,estero,2018,68
italia,richiesta di aiuto vittima di stalking,maschi,estero,2019,65
italia,richiesta di aiuto vittima di stalking,maschi,estero,2020,127
italia,richiesta di aiuto vittima di stalking,maschi,estero,2021,145
italia,richiesta di aiuto vittima di stalking,maschi,estero,2022,85
italia,richiesta di aiuto vittima di stalking,maschi,estero,2023,114
italia,richiesta di aiuto vittima di stalking,maschi,estero,2024,144
italia,richiesta di aiuto vittima di stalking,maschi,estero,2015,2
italia,richiesta di aiuto vittima di stalking,maschi,estero,2016,4
italia,richiesta di aiuto vittima di stalking,maschi,estero,2017,3
italia,richiesta di aiuto vittima di stalking,maschi,estero,2020,3
italia,richiesta di aiuto vittima di stalking,maschi,estero,2021,1
italia,richiesta di aiuto vittima di stalking,maschi,estero,2022,1
italia,richiesta di aiuto vittima di stalking,maschi,estero,2023,2
italia,richiesta di aiuto vittima di stalking,maschi,estero,2024,1
italia,richiesta di aiuto vittima di stalking,maschi,italia,2015,99
italia,richiesta di aiuto vittima di stalking,maschi,italia,2016,132
italia,richiesta di aiuto vittima di stalking,maschi,italia,2017,106
italia,richiesta di aiuto vittima di stalking,maschi,italia,2018,68
italia,richiesta di aiuto vittima di stalking,maschi,italia,2019,65
italia,richiesta di aiuto vittima di stalking,maschi,italia,2020,124
italia,richiesta di aiuto vittima di stalking,maschi,italia,2021,144
italia,richiesta di aiuto vittima di stalking,maschi,italia,2022,84
italia,richiesta di aiuto vittima di stalking,maschi,italia,2023,112
italia,richiesta di aiuto vittima di stalking,maschi,italia,2024,143
italia,richiesta di aiuto vittima di stalking,femmine,estero,2015,920
italia,richiesta di aiuto vittima di stalking,femmine,estero,2016,850
italia,richiesta di aiuto vittima di stalking,femmine,estero,2017,809
italia,richiesta di aiuto vittima di stalking,femmine,estero,2018,858
italia,richiesta di aiuto vittima di stalking,femmine,estero,2019,832
italia,richiesta di aiuto vittima di stalking,femmine,estero,2020,1215
italia,richiesta di aiuto vittima di stalking,femmine,estero,2021,1367
italia,richiesta di aiuto vittima di stalking,femmine,estero,2022,1050
italia,richiesta di aiuto vittima di stalking,femmine,estero,2023,1414
italia,richiesta di aiuto vittima di stalking,femmine,estero,2024,1906
italia,richiesta di aiuto vittima di stalking,femmine,estero,2015,79
italia,richiesta di aiuto vittima di stalking,femmine,estero,2016,67
italia,richiesta di aiuto vittima di stalking,femmine,estero,2017,73
italia,richiesta di aiuto vittima di stalking,femmine,estero,2018,48
italia,richiesta di aiuto vittima di stalking,femmine,estero,2019,71
italia,richiesta di aiuto vittima di stalking,femmine,estero,2020,74
italia,richiesta di aiuto vittima di stalking,femmine,estero,2021,81
italia,richiesta di aiuto vittima di stalking,femmine,estero,2022,68
italia,richiesta di aiuto vittima di stalking,femmine,estero,2023,85
italia,richiesta di aiuto vittima di stalking,femmine,estero,2024,107
italia,richiesta di aiuto vittima di stalking,femmine,italia,2015,841
