territorio,tipologia_utenti,sesso,periodo,numero_vittime
italia,utenti che chiamano per sè,maschi,2015,1681
italia,utenti che chiamano per sè,maschi,2016,1284
italia,utenti che chiamano per sè,maschi,2017,1676
italia,utenti che chiamano per sè,maschi,2018,2153
italia,utenti che chiamano per sè,maschi,2019,1910
italia,utenti che chiamano per sè,maschi,2020,2890
italia,utenti che chiamano per sè,maschi,2021,3182
italia,utenti che chiamano per sè,maschi,2022,3220
italia,utenti che chiamano per sè,maschi,2023,2463
italia,utenti che chiamano per sè,maschi,2024,2569
italia,utenti che chiamano per sè,femmine,2015,15602
italia,utenti che chiamano per sè,femmine,2016,14248
italia,utenti che chiamano per sè,femmine,2017,14067
italia,utenti che chiamano per sè,femmine,2018,19132
italia,utenti che chiamano per sè,femmine,2019,17936
italia,utenti che chiamano per sè,femmine,2020,26763
italia,utenti che chiamano per sè,femmine,2021,30140
italia,utenti che chiamano per sè,femmine,2022,27160
italia,utenti che chiamano per sè,femmine,2023,31270
italia,utenti che chiamano per sè,femmine,2024,36224
italia,utenti che chiamano per sè,non indicato,2015,1
italia,utenti che chiamano per sè,non indicato,2019,2
italia,utenti che chiamano per sè,non indicato,2020,9
italia,utenti che chiamano per sè,non indicato,2021,11
italia,utenti che chiamano per sè,non indicato,2022,15
italia,utenti che chiamano per sè,non indicato,2023,3287
italia,utenti che chiamano per sè,non indicato,2024,3218
italia,da operatori,maschi,2015,110
italia,da operatori,maschi,2016,116
italia,da operatori,maschi,2017,164
italia,da operatori,maschi,2018,205
italia,da operatori,maschi,2019,248
italia,da operatori,maschi,2020,186
italia,da operatori,maschi,2021,328
italia,da operatori,maschi,2022,363
italia,da operatori,maschi,2023,1355
italia,da operatori,maschi,2024,1784
italia,da operatori,femmine,2015,141
italia,da operatori,femmine,2016,162
italia,da operatori,femmine,2017,207
italia,da operatori,femmine,2018,223
italia,da operatori,femmine,2019,221
italia,da operatori,femmine,2020,231
italia,da operatori,femmine,2021,242
italia,da operatori,femmine,2022,255
italia,da operatori,femmine,2023,2777
italia,da operatori,femmine,2024,3670
italia,da operatori,non indicato,2023,237
italia,da operatori,non indicato,2024,226
italia,da parenti/amici/conoscenti,maschi,2015,353
italia,da parenti/amici/conoscenti,maschi,2016,258
italia,da parenti/amici/conoscenti,maschi,2017,233
italia,da parenti/amici/conoscenti,maschi,2018,162
italia,da parenti/amici/conoscenti,maschi,2019,147
italia,da parenti/amici/conoscenti,maschi,2020,290
italia,da parenti/amici/conoscenti,maschi,2021,440
italia,da parenti/amici/conoscenti,maschi,2022,225
italia,da parenti/amici/conoscenti,maschi,2023,978
italia,da parenti/amici/conoscenti,maschi,2024,1306
italia,da parenti/amici/conoscenti,femmine,2015,1488
italia,da parenti/amici/conoscenti,femmine,2016,1281
italia,da parenti/amici/conoscenti,femmine,2017,874
italia,da parenti/amici/conoscenti,femmine,2018,977
italia,da parenti/amici/conoscenti,femmine,2019,624
italia,da parenti/amici/conoscenti,femmine,2020,1102
italia,da parenti/amici/conoscenti,femmine,2021,1421
italia,da parenti/amici/conoscenti,femmine,2022,930
italia,da parenti/amici/conoscenti,femmine,2023,3033
italia,da parenti/amici/conoscenti,femmine,2024,4209
italia,da parenti/amici/conoscenti,non indicato,2023,198
italia,da parenti/amici/conoscenti,non indicato,2024,226
italia,altre chiamate valide,maschi,2015,57
italia,altre chiamate valide,maschi,2016,32
italia,altre chiamate valide,maschi,2017,46
italia,altre chiamate valide,maschi,2018,37
italia,altre chiamate valide,maschi,2019,37
italia,altre chiamate valide,maschi,2020,37
italia,altre chiamate valide,maschi,2021,58
italia,altre chiamate valide,maschi,2022,40
italia,altre chiamate valide,maschi,2023,1246
italia,altre chiamate valide,maschi,2024,2601
italia,altre chiamate valide,femmine,2015,273
italia,altre chiamate valide,femmine,2016,253
italia,altre chiamate valide,femmine,2017,349
italia,altre chiamate valide,femmine,2018,344
italia,altre chiamate valide,femmine,2019,165
italia,altre chiamate valide,femmine,2020,180
italia,altre chiamate valide,femmine,2021,214
italia,altre chiamate valide,femmine,2022,222
italia,altre chiamate valide,femmine,2023,3781
italia,altre chiamate valide,femmine,2024,8017
italia,altre chiamate valide,non indicato,2023,594
italia,altre chiamate valide,non indicato,2024,913
italia,valore mancante,maschi,2023,112
italia,valore mancante,maschi,2024,18
italia,valore mancante,femmine,2023,374
italia,valore mancante,femmine,2024,46
italia,valore mancante,non indicato,2023,8
italia,valore mancante,non indicato,2024,21
nord ovest,utenti che chiamano per sè,maschi,2015,310
nord ovest,utenti che chiamano per sè,maschi,2016,304
nord ovest,utenti che chiamano per sè,maschi,2017,345
nord ovest,utenti che chiamano per sè,maschi,2018,398
nord ovest,utenti che chiamano per sè,maschi,2019,405
nord ovest,utenti che chiamano per sè,maschi,2020,518
nord ovest,utenti che chiamano per sè,maschi,2021,398
nord ovest,utenti che chiamano per sè,maschi,2022,470
nord ovest,utenti che chiamano per sè,maschi,2023,290
nord ovest,utenti che chiamano per sè,maschi,2024,300
nord ovest,utenti che chiamano per sè,femmine,2015,3878
nord ovest,utenti che chiamano per sè,femmine,2016,3677
nord ovest,utenti che chiamano per sè,femmine,2017,3375
nord ovest,utenti che chiamano per sè,femmine,2018,4385
nord ovest,utenti che chiamano per sè,femmine,2019,4241
nord ovest,utenti che chiamano per sè,femmine,2020,5597
nord ovest,utenti che chiamano per sè,femmine,2021,5404
nord ovest,utenti che chiamano per sè,femmine,2022,5110
nord ovest,utenti che chiamano per sè,femmine,2023,5838
nord ovest,utenti che chiamano per sè,femmine,2024,7582
nord ovest,utenti che chiamano per sè,non indicato,2023,28
nord ovest,utenti che chiamano per sè,non indicato,2024,15
nord ovest,da operatori,maschi,2015,19
nord ovest,da operatori,maschi,2016,25
nord ovest,da operatori,maschi,2017,37
nord ovest,da operatori,maschi,2018,43
nord ovest,da operatori,maschi,2019,49
nord ovest,da operatori,maschi,2020,39
nord ovest,da operatori,maschi,2021,66
nord ovest,da operatori,maschi,2022,85
nord ovest,da operatori,maschi,2023,299
nord ovest,da operatori,maschi,2024,325
nord ovest,da operatori,femmine,2015,27
nord ovest,da operatori,femmine,2016,42
nord ovest,da operatori,femmine,2017,39
nord ovest,da operatori,femmine,2018,56
nord ovest,da operatori,femmine,2019,56
nord ovest,da operatori,femmine,2020,58
nord ovest,da operatori,femmine,2021,51
nord ovest,da operatori,femmine,2022,51
nord ovest,da operatori,femmine,2023,604
nord ovest,da operatori,femmine,2024,840
nord ovest,da operatori,non indicato,2023,5
nord ovest,da operatori,non indicato,2024,4
nord ovest,da parenti/amici/conoscenti,maschi,2015,89
nord ovest,da parenti/amici/conoscenti,maschi,2016,83
nord ovest,da parenti/amici/conoscenti,maschi,2017,79
nord ovest,da parenti/amici/conoscenti,maschi,2018,39
nord ovest,da parenti/amici/conoscenti,maschi,2019,39
nord ovest,da parenti/amici/conoscenti,maschi,2020,78
nord ovest,da parenti/amici/conoscenti,maschi,2021,102
nord ovest,da parenti/amici/conoscenti,maschi,2022,58
nord ovest,da parenti/amici/conoscenti,maschi,2023,195
