sesso,età,imput_affermazione,grado_accordo,percentuale
maschi,18-29,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,2.3
maschi,18-29,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,5.1
maschi,18-29,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,15.0
maschi,18-29,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,77.3
maschi,18-29,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.3
maschi,18-29,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,5.0
maschi,18-29,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,12.1
maschi,18-29,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,25.0
maschi,18-29,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,57.5
maschi,18-29,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.4
maschi,18-29,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,3.2
maschi,18-29,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,5.5
maschi,18-29,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,16.8
maschi,18-29,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,74.2
maschi,18-29,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.3
maschi,18-29,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,4.7
