territorio,sesso,imput_affermazione,grado_accordo,percentuale
italia,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,5.1
italia,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,10.4
italia,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,13.3
italia,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,70.4
italia,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.8
italia,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,11.4
italia,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,20.0
italia,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,17.1
italia,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,50.9
italia,maschi,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.6
italia,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,4.4
italia,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,6.3
italia,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,13.4
italia,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,75.4
italia,maschi,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.5
italia,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,10.0
italia,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,20.6
italia,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,21.8
italia,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,47.0
italia,maschi,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.7
italia,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,9.3
italia,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,21.0
italia,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,17.1
italia,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,51.4
italia,maschi,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,1.2
italia,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,4.7
italia,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,12.0
italia,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,12.1
italia,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,70.5
italia,femmine,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.7
italia,femmine,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,7.5
italia,femmine,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,17.0
italia,femmine,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,17.8
italia,femmine,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,57.1
italia,femmine,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.6
italia,femmine,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,2.5
italia,femmine,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,4.6
italia,femmine,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,9.6
italia,femmine,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,82.9
italia,femmine,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.5
italia,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,11.0
italia,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,21.3
italia,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,19.8
italia,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,47.3
italia,femmine,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.7
italia,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,10.4
italia,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,24.3
italia,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,15.3
italia,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,48.6
italia,femmine,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,1.4
nord ovest,maschi,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,2.5
