sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,19.5
maschi,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,26.0
maschi,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,9.2
maschi,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,41.3
maschi,elementare_o_nessun_titolo,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,4.0
maschi,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,31.5
maschi,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,34.5
maschi,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,7.5
maschi,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,24.8
maschi,elementare_o_nessun_titolo,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,1.7
maschi,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,18.8
maschi,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,12.2
maschi,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,12.9
maschi,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,53.7
maschi,elementare_o_nessun_titolo,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,2.4
maschi,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,25.2
maschi,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,26.7
maschi,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,16.7
maschi,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,28.7
maschi,elementare_o_nessun_titolo,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,2.7
maschi,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,24.6
maschi,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,25.0
maschi,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,13.6
maschi,elementare_o_nessun_titolo,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,31.6
