sesso,età,imput_affermazione,grado_accordo,percentuale
maschi,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,4.8
maschi,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,10.1
maschi,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,21.0
maschi,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,58.7
maschi,18-29,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,5.4
maschi,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,14.9
maschi,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,26.5
maschi,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,28.3
maschi,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,24.0
maschi,18-29,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,6.3
maschi,18-29,Le donne serie non vengono violentate,molto_d_accordo,0.9
maschi,18-29,Le donne serie non vengono violentate,abbastanza_d_accordo,5.6
maschi,18-29,Le donne serie non vengono violentate,poco_d_accordo,15.6
maschi,18-29,Le donne serie non vengono violentate,per_niente_d_accordo,72.0
maschi,18-29,Le donne serie non vengono violentate,non_risponde,6.0
maschi,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.6
maschi,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.1
maschi,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,7.1
maschi,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,85.6
maschi,18-29,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,5.6
maschi,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.0
maschi,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,7.8
maschi,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,18.1
maschi,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,61.6
maschi,18-29,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,11.5
maschi,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.7
maschi,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,13.0
maschi,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,15.6
maschi,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,62.8
maschi,18-29,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.9
maschi,18-29,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.4
maschi,18-29,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,11.0
maschi,18-29,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,36.0
maschi,18-29,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,41.1
maschi,18-29,Spesso le accuse di violenza sessuale sono false,non_risponde,10.6
maschi,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,6.3
maschi,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,15.9
maschi,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,23.6
maschi,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,51.2
maschi,30-44,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,3.1
maschi,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,13.0
maschi,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,29.1
maschi,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,24.9
maschi,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,28.1
maschi,30-44,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,4.9
maschi,30-44,Le donne serie non vengono violentate,molto_d_accordo,1.9
maschi,30-44,Le donne serie non vengono violentate,abbastanza_d_accordo,3.1
maschi,30-44,Le donne serie non vengono violentate,poco_d_accordo,10.2
maschi,30-44,Le donne serie non vengono violentate,per_niente_d_accordo,81.3
maschi,30-44,Le donne serie non vengono violentate,non_risponde,3.4
maschi,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.7
maschi,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.0
maschi,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.4
maschi,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,89.6
maschi,30-44,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,3.4
maschi,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.8
maschi,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,6.4
maschi,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,15.5
maschi,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,66.0
maschi,30-44,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,10.3
maschi,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,4.4
maschi,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,12.2
maschi,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,13.0
maschi,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,65.9
maschi,30-44,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,4.5
maschi,30-44,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,2.7
maschi,30-44,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,10.5
maschi,30-44,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,32.9
maschi,30-44,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,43.2
maschi,30-44,Spesso le accuse di violenza sessuale sono false,non_risponde,10.8
maschi,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,7.2
maschi,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,16.9
maschi,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,23.3
maschi,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,48.6
maschi,45-59,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,4.0
maschi,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,14.3
maschi,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,26.5
maschi,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,23.3
maschi,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,28.7
maschi,45-59,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,7.3
maschi,45-59,Le donne serie non vengono violentate,molto_d_accordo,2.8
maschi,45-59,Le donne serie non vengono violentate,abbastanza_d_accordo,4.2
maschi,45-59,Le donne serie non vengono violentate,poco_d_accordo,8.3
maschi,45-59,Le donne serie non vengono violentate,per_niente_d_accordo,79.4
maschi,45-59,Le donne serie non vengono violentate,non_risponde,5.3
