territorio,sesso,imput_affermazione,grado_accordo,percentuale
italia,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,7.0
italia,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,16.8
italia,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,22.6
italia,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,48.3
italia,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,5.3
italia,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,14.0
italia,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,27.9
italia,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,24.0
italia,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,26.1
italia,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,8.0
italia,maschi,Le donne serie non vengono violentate,molto_d_accordo,2.5
italia,maschi,Le donne serie non vengono violentate,abbastanza_d_accordo,4.7
italia,maschi,Le donne serie non vengono violentate,poco_d_accordo,10.2
italia,maschi,Le donne serie non vengono violentate,per_niente_d_accordo,76.5
italia,maschi,Le donne serie non vengono violentate,non_risponde,6.2
italia,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.8
italia,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.1
italia,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.2
italia,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,87.2
italia,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,5.7
italia,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,1.7
italia,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,7.4
italia,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,15.4
