sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,16.2
maschi,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,21.2
maschi,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,18.1
maschi,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,27.7
maschi,elementare_o_nessun_titolo,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,16.9
maschi,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,15.8
maschi,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,23.0
maschi,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,19.0
maschi,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,20.8
maschi,elementare_o_nessun_titolo,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,21.3
maschi,elementare_o_nessun_titolo,Le donne serie non vengono violentate,molto_d_accordo,6.8
maschi,elementare_o_nessun_titolo,Le donne serie non vengono violentate,abbastanza_d_accordo,7.7
maschi,elementare_o_nessun_titolo,Le donne serie non vengono violentate,poco_d_accordo,9.1
maschi,elementare_o_nessun_titolo,Le donne serie non vengono violentate,per_niente_d_accordo,57.2
maschi,elementare_o_nessun_titolo,Le donne serie non vengono violentate,non_risponde,19.2
maschi,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,1.8
maschi,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,2.2
maschi,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,3.4
maschi,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,74.4
maschi,elementare_o_nessun_titolo,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,18.3
