territorio,canale_segnalazione,sesso,orientamento_sessuale,periodo,numero_vittime
italia,Utenti del 1522,maschi,omosessuale,2015,24
italia,Utenti del 1522,maschi,omosessuale,2016,34
italia,Utenti del 1522,maschi,omosessuale,2017,56
italia,Utenti del 1522,maschi,omosessuale,2018,36
italia,Utenti del 1522,maschi,omosessuale,2019,45
italia,Utenti del 1522,maschi,omosessuale,2020,91
italia,Utenti del 1522,maschi,omosessuale,2021,92
italia,Utenti del 1522,maschi,omosessuale,2022,77
italia,Utenti del 1522,maschi,transessuale,2015,14
italia,Utenti del 1522,maschi,transessuale,2016,12
italia,Utenti del 1522,maschi,transessuale,2017,32
italia,Utenti del 1522,maschi,transessuale,2018,15
italia,Utenti del 1522,maschi,transessuale,2019,12
italia,Utenti del 1522,maschi,transessuale,2020,60
italia,Utenti del 1522,maschi,transessuale,2021,31
italia,Utenti del 1522,maschi,transessuale,2022,25
italia,Utenti del 1522,maschi,missing,2023,6154
italia,Utenti del 1522,maschi,missing,2024,8278
italia,Utenti del 1522,maschi,altro o non indicato,2015,2166
italia,Utenti del 1522,maschi,altro o non indicato,2016,1648
italia,Utenti del 1522,maschi,altro o non indicato,2017,2057
italia,Utenti del 1522,maschi,altro o non indicato,2018,2516
italia,Utenti del 1522,maschi,altro o non indicato,2019,2290
italia,Utenti del 1522,maschi,altro o non indicato,2020,3275
italia,Utenti del 1522,maschi,altro o non indicato,2021,3901
italia,Utenti del 1522,maschi,altro o non indicato,2022,3755
italia,Utenti del 1522,femmine,omosessuale,2015,13
italia,Utenti del 1522,femmine,omosessuale,2016,20
italia,Utenti del 1522,femmine,omosessuale,2017,20
italia,Utenti del 1522,femmine,omosessuale,2018,16
italia,Utenti del 1522,femmine,omosessuale,2019,28
italia,Utenti del 1522,femmine,omosessuale,2020,89
italia,Utenti del 1522,femmine,omosessuale,2021,81
italia,Utenti del 1522,femmine,omosessuale,2022,56
italia,Utenti del 1522,femmine,transessuale,2015,44
italia,Utenti del 1522,femmine,transessuale,2016,40
italia,Utenti del 1522,femmine,transessuale,2017,45
italia,Utenti del 1522,femmine,transessuale,2018,32
italia,Utenti del 1522,femmine,transessuale,2019,16
italia,Utenti del 1522,femmine,transessuale,2020,183
italia,Utenti del 1522,femmine,transessuale,2021,125
italia,Utenti del 1522,femmine,transessuale,2022,70
italia,Utenti del 1522,femmine,missing,2023,41235
italia,Utenti del 1522,femmine,missing,2024,52166
italia,Utenti del 1522,femmine,altro o non indicato,2015,17452
italia,Utenti del 1522,femmine,altro o non indicato,2016,15887
italia,Utenti del 1522,femmine,altro o non indicato,2017,15441
italia,Utenti del 1522,femmine,altro o non indicato,2018,20629
italia,Utenti del 1522,femmine,altro o non indicato,2019,18903
italia,Utenti del 1522,femmine,altro o non indicato,2020,28021
italia,Utenti del 1522,femmine,altro o non indicato,2021,31821
italia,Utenti del 1522,femmine,altro o non indicato,2022,28445
italia,Utenti del 1522,non indicato,missing,2023,4324
italia,Utenti del 1522,non indicato,missing,2024,4604
italia,Utenti del 1522,non indicato,altro o non indicato,2015,1
italia,Utenti del 1522,non indicato,altro o non indicato,2019,2
italia,Utenti del 1522,non indicato,altro o non indicato,2020,9
italia,Utenti del 1522,non indicato,altro o non indicato,2021,11
italia,Utenti del 1522,non indicato,altro o non indicato,2022,15
nord ovest,Utenti del 1522,maschi,omosessuale,2015,2
nord ovest,Utenti del 1522,maschi,omosessuale,2016,10
nord ovest,Utenti del 1522,maschi,omosessuale,2017,12
nord ovest,Utenti del 1522,maschi,omosessuale,2018,9
nord ovest,Utenti del 1522,maschi,omosessuale,2019,14
nord ovest,Utenti del 1522,maschi,omosessuale,2020,17
nord ovest,Utenti del 1522,maschi,omosessuale,2021,20
