regione,conclusione_percorso,abbandono_o_ritorno_dal_maltrattante,trasferimento_o_altri_motivi
piemonte,33.8,19.7,46.5
valle d'aosta,55.0,25.0,20.0
liguria,45.0,22.5,32.5
lombardia,32.1,21.6,46.3
trentino alto adige,71.4,20.2,8.3
bolzano,74.4,21.8,3.8
trento,33.3,,66.7
veneto,57.6,16.5,25.9
friuli venezia giulia,33.0,34.0,33.0
emilia romagna,33.3,22.0,44.7
toscana,43.1,23.1,33.8
umbria,50.0,43.8,6.3
marche,6.9,9.2,83.9
lazio,50.5,17.2,32.3
abruzzo,26.1,30.4,43.5
molise,43.8,18.8,37.5
campania,43.4,23.0,33.6
puglia,33.3,31.2,35.5
basilicata,66.7,33.3,
calabria,45.5,36.4,18.2
sicilia,32.6,44.4,23.0
sardegna,55.1,12.2,32.7
nord ovest,33.9,21.6,44.5
nord est,43.8,22.4,33.9
centro,34.1,17.6,48.3
sud,39.6,27.6,32.8
isole,38.6,35.9,25.5
