regione,totale_donne_accolte,di_cui_con_figli,di_cui_straniere
piemonte,85,53,57
valle d'aosta,26,11,12
liguria,73,49,44
lombardia,531,320,388
trentino alto adige,95,78,62
bolzano,88,71,57
trento,7,7,5
veneto,136,97,102
friuli venezia giulia,107,69,73
emilia romagna,310,240,227
toscana,87,66,68
umbria,43,32,23
marche,92,54,60
lazio,108,85,82
abruzzo,26,19,16
molise,17,8,11
campania,171,110,62
puglia,124,62,49
basilicata,8,4,6
calabria,42,27,17
sicilia,213,120,77
sardegna,74,27,24
nord ovest,715,433,501
nord est,648,484,464
centro,330,237,233
sud,388,230,161
isole,287,147,101
