territorio,età,celibi,coniugati,divorziati,vedovi,uniti_civilmente,maschi_ex_unione_scioglimento,maschi_ex_unione_decesso,totale_maschi,nubili,coniugate,divorziate,vedove,unite_civilmente,femmine_ex_unione_scioglimento,femmine_ex_unione_decesso,totale_femmine,totale
abruzzo,0,3821,0,0,0,0,0,0,3821,3553,0,0,0,0,0,0,3553,7374
abruzzo,1,3992,0,0,0,0,0,0,3992,3658,0,0,0,0,0,0,3658,7650
abruzzo,2,4239,0,0,0,0,0,0,4239,3919,0,0,0,0,0,0,3919,8158
abruzzo,3,4296,0,0,0,0,0,0,4296,4165,0,0,0,0,0,0,4165,8461
abruzzo,4,4453,0,0,0,0,0,0,4453,4186,0,0,0,0,0,0,4186,8639
abruzzo,5,4522,0,0,0,0,0,0,4522,4315,0,0,0,0,0,0,4315,8837
abruzzo,6,4698,0,0,0,0,0,0,4698,4502,0,0,0,0,0,0,4502,9200
abruzzo,7,5054,0,0,0,0,0,0,5054,4739,0,0,0,0,0,0,4739,9793
abruzzo,8,5287,0,0,0,0,0,0,5287,4972,0,0,0,0,0,0,4972,10259
abruzzo,9,5406,0,0,0,0,0,0,5406,5042,0,0,0,0,0,0,5042,10448
abruzzo,10,5456,0,0,0,0,0,0,5456,5179,0,0,0,0,0,0,5179,10635
abruzzo,11,5522,0,0,0,0,0,0,5522,5231,0,0,0,0,0,0,5231,10753
abruzzo,12,5771,0,0,0,0,0,0,5771,5548,0,0,0,0,0,0,5548,11319
abruzzo,13,5976,0,0,0,0,0,0,5976,5457,0,0,0,0,0,0,5457,11433
abruzzo,14,6031,0,0,0,0,0,0,6031,5715,0,0,0,0,0,0,5715,11746
abruzzo,15,5987,0,0,0,0,0,0,5987,5564,0,0,0,0,0,0,5564,11551
abruzzo,16,6191,0,0,0,0,0,0,6191,5806,0,0,0,0,0,0,5806,11997
abruzzo,17,6136,0,0,0,0,0,0,6136,5746,1,0,0,0,0,0,5747,11883
abruzzo,18,6220,1,0,0,0,0,0,6221,5629,5,0,0,0,0,0,5634,11855
abruzzo,19,6304,2,0,0,0,0,0,6306,5783,11,0,0,0,0,0,5794,12100
abruzzo,20,6559,12,0,0,0,0,0,6571,5667,27,0,0,0,0,0,5694,12265
abruzzo,21,6409,9,0,0,0,0,0,6418,5624,71,0,0,0,0,0,5695,12113
abruzzo,22,6316,21,0,0,0,0,0,6337,5441,99,1,0,0,0,0,5541,11878
abruzzo,23,6376,35,1,0,0,0,0,6412,5615,152,3,0,1,0,0,5771,12183
abruzzo,24,6656,67,2,0,0,0,0,6725,5516,229,1,0,3,0,0,5749,12474
abruzzo,25,6418,106,2,1,1,0,0,6528,5456,307,4,2,1,0,0,5770,12298
abruzzo,26,6528,161,4,0,3,1,0,6697,5448,454,4,1,1,0,0,5908,12605
abruzzo,27,6372,245,1,4,1,0,0,6623,5117,607,5,0,3,0,0,5732,12355
abruzzo,28,6150,349,2,2,2,0,0,6505,5155,762,12,2,6,2,0,5939,12444
abruzzo,29,6084,495,9,2,1,0,0,6591,4772,981,19,0,4,2,0,5778,12369
abruzzo,30,5954,640,10,4,4,1,0,6613,4681,1363,37,2,4,1,0,6088,12701
abruzzo,31,5927,866,12,7,2,0,0,6814,4570,1629,36,3,5,1,0,6244,13058
abruzzo,32,5820,1171,19,4,2,0,0,7016,4447,1956,47,8,5,0,0,6463,13479
abruzzo,33,5508,1424,30,9,8,0,0,6979,4130,2334,78,5,5,1,0,6553,13532
abruzzo,34,5348,1744,31,9,3,0,0,7135,3965,2705,96,9,8,2,0,6785,13920
abruzzo,35,5140,2047,58,4,9,0,0,7258,3603,2937,124,10,5,1,0,6680,13938
abruzzo,36,4888,2362,81,11,6,0,0,7348,3494,3313,137,12,7,0,0,6963,14311
abruzzo,37,4405,2561,82,15,8,0,0,7071,3218,3508,173,19,9,0,0,6927,13998
abruzzo,38,4279,2921,92,9,8,0,0,7309,3093,3830,221,26,12,2,0,7184,14493
abruzzo,39,4190,3254,118,14,3,0,0,7579,3084,4083,261,29,9,4,0,7470,15049
abruzzo,40,3975,3609,164,15,11,0,0,7774,2813,4373,287,40,7,2,0,7522,15296
abruzzo,41,3802,3726,189,16,4,0,0,7737,2629,4564,306,32,8,0,0,7539,15276
abruzzo,42,3668,4027,225,12,8,1,0,7941,2656,4962,374,51,10,1,0,8054,15995
abruzzo,43,3568,4189,239,26,10,0,0,8032,2384,5042,393,75,4,0,0,7898,15930
abruzzo,44,3502,4505,256,18,7,0,1,8289,2350,5154,476,94,4,1,0,8079,16368
abruzzo,45,3398,4856,316,32,6,0,0,8608,2210,5616,526,114,4,0,0,8470,17078
abruzzo,46,3339,5222,364,22,12,0,0,8959,2102,5945,587,89,5,0,0,8728,17687
abruzzo,47,3336,5266,389,34,8,0,0,9033,2054,6027,598,126,7,0,0,8812,17845
abruzzo,48,3183,5635,458,33,8,0,0,9317,2080,6435,630,155,3,0,0,9303,18620
abruzzo,49,3055,5820,485,58,8,0,0,9426,2068,6669,777,178,3,0,0,9695,19121
abruzzo,50,3034,6337,532,45,6,0,0,9954,1876,7005,810,221,7,2,0,9921,19875
abruzzo,51,2767,6271,580,62,6,0,0,9686,1756,7224,813,202,5,0,0,10000,19686
abruzzo,52,2638,6644,631,63,6,0,0,9982,1749,7385,859,257,2,0,0,10252,20234
abruzzo,53,2546,6711,682,52,5,1,0,9997,1715,7679,861,311,2,0,0,10568,20565
abruzzo,54,2400,6780,624,67,8,0,0,9879,1447,7567,892,333,4,0,0,10243,20122
abruzzo,55,2280,7283,692,71,10,0,0,10336,1513,7802,926,370,3,0,0,10614,20950
abruzzo,56,2131,7297,691,98,6,0,1,10224,1377,7786,911,467,4,0,0,10545,20769
abruzzo,57,1904,7446,733,100,10,0,1,10194,1347,8028,902,468,4,0,0,10749,20943
abruzzo,58,1813,7706,728,126,7,0,0,10380,1227,8103,859,583,3,0,0,10775,21155
abruzzo,59,1671,7736,768,155,11,0,0,10341,1107,8201,850,642,2,0,0,10802,21143
abruzzo,60,1611,7947,719,168,6,0,0,10451,1071,8053,907,720,1,0,0,10752,21203
abruzzo,61,1360,7546,666,162,7,0,0,9741,980,7697,798,782,1,0,0,10258,19999
abruzzo,62,1260,7237,667,183,8,0,0,9355,884,7376,702,870,1,0,0,9833,19188
abruzzo,63,1108,6969,641,190,1,1,0,8910,917,7339,679,940,2,0,0,9877,18787
abruzzo,64,1046,7058,584,197,5,0,0,8890,826,7103,672,1025,4,0,0,9630,18520
abruzzo,65,936,6990,497,225,4,0,0,8652,739,6982,590,1150,3,0,0,9464,18116
abruzzo,66,895,6678,468,246,1,0,0,8288,722,6599,551,1168,3,0,0,9043,17331
abruzzo,67,801,6679,437,268,4,0,0,8189,665,6404,497,1284,0,0,0,8850,17039
abruzzo,68,693,6696,475,274,4,0,0,8142,584,6127,434,1475,0,0,0,8620,16762
abruzzo,69,694,6441,397,329,2,0,0,7863,577,6171,462,1581,0,0,0,8791,16654
abruzzo,70,621,6295,342,350,2,0,0,7610,531,5823,400,1734,1,2,0,8491,16101
abruzzo,71,518,5938,332,320,3,0,0,7111,486,5326,373,1733,1,0,0,7919,15030
abruzzo,72,530,5778,283,385,2,0,0,6978,464,5006,345,1978,1,0,0,7794,14772
abruzzo,73,421,5715,250,391,1,0,0,6778,411,5048,324,2132,0,0,0,7915,14693
abruzzo,74,412,5992,240,440,1,0,0,7085,416,4926,276,2324,1,0,0,7943,15028
abruzzo,75,432,5868,216,485,4,0,0,7005,399,4762,261,2629,0,0,0,8051,15056
abruzzo,76,405,5794,190,491,1,0,0,6881,426,4596,248,2888,1,0,0,8159,15040
abruzzo,77,365,5361,193,551,0,0,0,6470,353,3940,217,3004,0,0,0,7514,13984
abruzzo,78,351,5071,155,565,3,0,0,6145,314,3613,185,3087,0,0,0,7199,13344
abruzzo,79,214,3620,107,408,1,0,0,4350,232,2550,145,2474,0,0,0,5401,9751
abruzzo,80,228,3734,101,505,0,0,0,4568,246,2364,141,2832,0,0,0,5583,10151
abruzzo,81,207,3396,81,523,1,0,0,4208,242,2175,110,2854,0,0,0,5381,9589
abruzzo,82,187,3032,71,569,1,0,0,3860,221,1845,101,2928,0,0,0,5095,8955
abruzzo,83,169,2871,53,608,0,0,0,3701,220,1652,96,3001,0,0,0,4969,8670
abruzzo,84,175,3002,62,673,1,0,0,3913,238,1619,94,3533,0,0,0,5484,9397
abruzzo,85,158,2802,76,670,0,0,0,3706,231,1328,64,3710,0,0,0,5333,9039
abruzzo,86,121,2245,41,683,0,0,0,3090,224,1076,63,3227,0,0,0,4590,7680
abruzzo,87,113,1970,34,661,0,0,0,2778,184,874,47,3132,0,0,0,4237,7015
abruzzo,88,91,1517,27,574,0,0,0,2209,179,622,38,2828,0,0,0,3667,5876
abruzzo,89,80,1322,23,559,0,0,0,1984,163,519,33,2704,0,0,0,3419,5403
abruzzo,90,57,992,6,495,0,0,0,1550,122,351,20,2441,0,0,0,2934,4484
abruzzo,91,52,823,12,421,1,0,0,1309,125,298,21,2217,0,0,0,2661,3970
