territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
italia,Utenti del 1522,maschi,no,2015,1772
italia,Utenti del 1522,maschi,no,2016,1363
italia,Utenti del 1522,maschi,no,2017,1787
italia,Utenti del 1522,maschi,no,2018,2334
italia,Utenti del 1522,maschi,no,2019,2184
italia,Utenti del 1522,maschi,no,2020,2466
italia,Utenti del 1522,maschi,no,2021,1883
italia,Utenti del 1522,maschi,no,2022,1585
italia,Utenti del 1522,maschi,no,2023,419
italia,Utenti del 1522,maschi,no,2024,657
italia,Utenti del 1522,maschi,si,2015,102
italia,Utenti del 1522,maschi,si,2016,83
italia,Utenti del 1522,maschi,si,2017,114
italia,Utenti del 1522,maschi,si,2018,107
italia,Utenti del 1522,maschi,si,2019,61
italia,Utenti del 1522,maschi,si,2020,167
italia,Utenti del 1522,maschi,si,2021,350
italia,Utenti del 1522,maschi,si,2022,207
italia,Utenti del 1522,maschi,si,2023,441
italia,Utenti del 1522,maschi,si,2024,154
italia,Utenti del 1522,maschi,non indicato,2015,327
italia,Utenti del 1522,maschi,non indicato,2016,244
italia,Utenti del 1522,maschi,non indicato,2017,218
italia,Utenti del 1522,maschi,non indicato,2018,116
italia,Utenti del 1522,maschi,non indicato,2019,97
italia,Utenti del 1522,maschi,non indicato,2020,770
italia,Utenti del 1522,maschi,non indicato,2021,1775
italia,Utenti del 1522,maschi,non indicato,2022,2056
italia,Utenti del 1522,maschi,non indicato,2023,5294
italia,Utenti del 1522,maschi,non indicato,2024,7467
italia,Utenti del 1522,femmine,no,2015,14948
italia,Utenti del 1522,femmine,no,2016,13897
italia,Utenti del 1522,femmine,no,2017,13783
italia,Utenti del 1522,femmine,no,2018,19753
italia,Utenti del 1522,femmine,no,2019,18040
italia,Utenti del 1522,femmine,no,2020,20657
italia,Utenti del 1522,femmine,no,2021,16615
italia,Utenti del 1522,femmine,no,2022,14619
italia,Utenti del 1522,femmine,no,2023,7689
italia,Utenti del 1522,femmine,no,2024,13283
italia,Utenti del 1522,femmine,si,2015,357
italia,Utenti del 1522,femmine,si,2016,429
italia,Utenti del 1522,femmine,si,2017,343
italia,Utenti del 1522,femmine,si,2018,398
italia,Utenti del 1522,femmine,si,2019,443
italia,Utenti del 1522,femmine,si,2020,1502
italia,Utenti del 1522,femmine,si,2021,3004
italia,Utenti del 1522,femmine,si,2022,1592
italia,Utenti del 1522,femmine,si,2023,6282
italia,Utenti del 1522,femmine,si,2024,1878
italia,Utenti del 1522,femmine,non indicato,2015,2199
italia,Utenti del 1522,femmine,non indicato,2016,1618
italia,Utenti del 1522,femmine,non indicato,2017,1371
italia,Utenti del 1522,femmine,non indicato,2018,525
italia,Utenti del 1522,femmine,non indicato,2019,463
italia,Utenti del 1522,femmine,non indicato,2020,6117
italia,Utenti del 1522,femmine,non indicato,2021,12398
italia,Utenti del 1522,femmine,non indicato,2022,12356
italia,Utenti del 1522,femmine,non indicato,2023,27264
italia,Utenti del 1522,femmine,non indicato,2024,37005
italia,Utenti del 1522,non indicato,no,2023,11
italia,Utenti del 1522,non indicato,no,2024,14
italia,Utenti del 1522,non indicato,si,2023,68
italia,Utenti del 1522,non indicato,si,2024,28
italia,Utenti del 1522,non indicato,non indicato,2015,1
italia,Utenti del 1522,non indicato,non indicato,2019,2
italia,Utenti del 1522,non indicato,non indicato,2020,9
italia,Utenti del 1522,non indicato,non indicato,2021,11
italia,Utenti del 1522,non indicato,non indicato,2022,15
italia,Utenti del 1522,non indicato,non indicato,2023,4245
italia,Utenti del 1522,non indicato,non indicato,2024,4562
nord ovest,Utenti del 1522,maschi,no,2015,348
nord ovest,Utenti del 1522,maschi,no,2016,349
nord ovest,Utenti del 1522,maschi,no,2017,396
nord ovest,Utenti del 1522,maschi,no,2018,448
nord ovest,Utenti del 1522,maschi,no,2019,477
nord ovest,Utenti del 1522,maschi,no,2020,528
nord ovest,Utenti del 1522,maschi,no,2021,352
nord ovest,Utenti del 1522,maschi,no,2022,293
nord ovest,Utenti del 1522,maschi,no,2023,116
nord ovest,Utenti del 1522,maschi,no,2024,158
nord ovest,Utenti del 1522,maschi,si,2015,18
nord ovest,Utenti del 1522,maschi,si,2016,20
nord ovest,Utenti del 1522,maschi,si,2017,24
nord ovest,Utenti del 1522,maschi,si,2018,23
nord ovest,Utenti del 1522,maschi,si,2019,7
nord ovest,Utenti del 1522,maschi,si,2020,33
nord ovest,Utenti del 1522,maschi,si,2021,43
nord ovest,Utenti del 1522,maschi,si,2022,27
nord ovest,Utenti del 1522,maschi,si,2023,71
nord ovest,Utenti del 1522,maschi,si,2024,34
nord ovest,Utenti del 1522,maschi,non indicato,2015,67
nord ovest,Utenti del 1522,maschi,non indicato,2016,50
nord ovest,Utenti del 1522,maschi,non indicato,2017,48
nord ovest,Utenti del 1522,maschi,non indicato,2018,20
nord ovest,Utenti del 1522,maschi,non indicato,2019,14
nord ovest,Utenti del 1522,maschi,non indicato,2020,84
nord ovest,Utenti del 1522,maschi,non indicato,2021,183
nord ovest,Utenti del 1522,maschi,non indicato,2022,304
