territorio,sesso,età,periodo,numero_vittime
italia,maschi,non indicato,2015,3
italia,maschi,non indicato,2016,2
italia,maschi,non indicato,2017,3
italia,maschi,non indicato,2020,3
italia,maschi,non indicato,2021,19
italia,maschi,non indicato,2022,20
italia,maschi,non indicato,2023,52
italia,maschi,non indicato,2024,52
italia,maschi,fino a 17 anni,2015,4
italia,maschi,fino a 17 anni,2016,3
italia,maschi,fino a 17 anni,2017,4
italia,maschi,fino a 17 anni,2018,5
italia,maschi,fino a 17 anni,2019,6
italia,maschi,fino a 17 anni,2020,26
italia,maschi,fino a 17 anni,2021,34
italia,maschi,fino a 17 anni,2022,17
italia,maschi,fino a 17 anni,2023,16
italia,maschi,fino a 17 anni,2024,12
italia,maschi,18-24 anni,2015,18
italia,maschi,18-24 anni,2016,24
italia,maschi,18-24 anni,2017,17
italia,maschi,18-24 anni,2018,18
italia,maschi,18-24 anni,2019,18
italia,maschi,18-24 anni,2020,49
italia,maschi,18-24 anni,2021,50
italia,maschi,18-24 anni,2022,30
italia,maschi,18-24 anni,2023,47
italia,maschi,18-24 anni,2024,28
italia,maschi,25-34 anni,2015,42
italia,maschi,25-34 anni,2016,48
italia,maschi,25-34 anni,2017,56
italia,maschi,25-34 anni,2018,30
italia,maschi,25-34 anni,2019,29
italia,maschi,25-34 anni,2020,70
italia,maschi,25-34 anni,2021,54
italia,maschi,25-34 anni,2022,40
italia,maschi,25-34 anni,2023,79
italia,maschi,25-34 anni,2024,45
italia,maschi,35-44 anni,2015,60
italia,maschi,35-44 anni,2016,76
italia,maschi,35-44 anni,2017,66
italia,maschi,35-44 anni,2018,51
italia,maschi,35-44 anni,2019,49
italia,maschi,35-44 anni,2020,82
italia,maschi,35-44 anni,2021,54
italia,maschi,35-44 anni,2022,41
italia,maschi,35-44 anni,2023,68
italia,maschi,35-44 anni,2024,48
italia,maschi,45-54 anni,2015,78
italia,maschi,45-54 anni,2016,59
italia,maschi,45-54 anni,2017,42
italia,maschi,45-54 anni,2018,51
italia,maschi,45-54 anni,2019,38
italia,maschi,45-54 anni,2020,69
italia,maschi,45-54 anni,2021,43
italia,maschi,45-54 anni,2022,31
italia,maschi,45-54 anni,2023,43
italia,maschi,45-54 anni,2024,42
italia,maschi,55-64 anni,2015,25
italia,maschi,55-64 anni,2016,33
italia,maschi,55-64 anni,2017,24
italia,maschi,55-64 anni,2018,30
italia,maschi,55-64 anni,2019,23
italia,maschi,55-64 anni,2020,48
italia,maschi,55-64 anni,2021,28
italia,maschi,55-64 anni,2022,18
italia,maschi,55-64 anni,2023,23
italia,maschi,55-64 anni,2024,10
italia,maschi,65 anni e più,2015,37
italia,maschi,65 anni e più,2016,23
italia,maschi,65 anni e più,2017,24
italia,maschi,65 anni e più,2018,28
italia,maschi,65 anni e più,2019,28
italia,maschi,65 anni e più,2020,35
italia,maschi,65 anni e più,2021,34
italia,maschi,65 anni e più,2022,18
italia,maschi,65 anni e più,2023,43
italia,maschi,65 anni e più,2024,36
italia,maschi,non disponibile,2015,44
italia,maschi,non disponibile,2016,27
italia,maschi,non disponibile,2017,50
italia,maschi,non disponibile,2018,48
italia,maschi,non disponibile,2019,27
italia,maschi,non disponibile,2020,189
italia,maschi,non disponibile,2021,224
italia,maschi,non disponibile,2022,47
italia,maschi,non disponibile,2023,54
italia,maschi,non disponibile,2024,160
italia,femmine,non indicato,2015,40
italia,femmine,non indicato,2016,61
italia,femmine,non indicato,2017,78
italia,femmine,non indicato,2018,40
italia,femmine,non indicato,2019,9
italia,femmine,non indicato,2020,88
italia,femmine,non indicato,2021,418
italia,femmine,non indicato,2022,479
italia,femmine,non indicato,2023,1259
italia,femmine,non indicato,2024,781
italia,femmine,fino a 17 anni,2015,52
italia,femmine,fino a 17 anni,2016,51
italia,femmine,fino a 17 anni,2017,68
italia,femmine,fino a 17 anni,2018,87
italia,femmine,fino a 17 anni,2019,93
italia,femmine,fino a 17 anni,2020,242
italia,femmine,fino a 17 anni,2021,388
italia,femmine,fino a 17 anni,2022,232
italia,femmine,fino a 17 anni,2023,314
italia,femmine,fino a 17 anni,2024,272
italia,femmine,18-24 anni,2015,496
italia,femmine,18-24 anni,2016,486
italia,femmine,18-24 anni,2017,500
italia,femmine,18-24 anni,2018,589
italia,femmine,18-24 anni,2019,672
italia,femmine,18-24 anni,2020,1072
italia,femmine,18-24 anni,2021,1297
italia,femmine,18-24 anni,2022,1123
italia,femmine,18-24 anni,2023,1419
italia,femmine,18-24 anni,2024,1117
italia,femmine,25-34 anni,2015,1402
italia,femmine,25-34 anni,2016,1384
italia,femmine,25-34 anni,2017,1345
italia,femmine,25-34 anni,2018,1505
italia,femmine,25-34 anni,2019,1606
italia,femmine,25-34 anni,2020,2100
italia,femmine,25-34 anni,2021,2034
italia,femmine,25-34 anni,2022,1832
italia,femmine,25-34 anni,2023,2506
italia,femmine,25-34 anni,2024,2014
italia,femmine,35-44 anni,2015,2034
italia,femmine,35-44 anni,2016,2065
italia,femmine,35-44 anni,2017,1972
italia,femmine,35-44 anni,2018,2236
italia,femmine,35-44 anni,2019,2178
italia,femmine,35-44 anni,2020,2758
italia,femmine,35-44 anni,2021,2425
italia,femmine,35-44 anni,2022,2381
italia,femmine,35-44 anni,2023,3042
italia,femmine,35-44 anni,2024,2475
italia,femmine,45-54 anni,2015,1619
italia,femmine,45-54 anni,2016,1731
italia,femmine,45-54 anni,2017,1563
italia,femmine,45-54 anni,2018,2119
italia,femmine,45-54 anni,2019,1767
italia,femmine,45-54 anni,2020,2350
italia,femmine,45-54 anni,2021,2287
italia,femmine,45-54 anni,2022,2074
italia,femmine,45-54 anni,2023,2540
italia,femmine,45-54 anni,2024,2209
italia,femmine,55-64 anni,2015,891
italia,femmine,55-64 anni,2016,888
italia,femmine,55-64 anni,2017,811
italia,femmine,55-64 anni,2018,1006
italia,femmine,55-64 anni,2019,859
italia,femmine,55-64 anni,2020,1325
italia,femmine,55-64 anni,2021,1291
italia,femmine,55-64 anni,2022,1074
italia,femmine,55-64 anni,2023,962
italia,femmine,55-64 anni,2024,820
italia,femmine,65 anni e più,2015,687
italia,femmine,65 anni e più,2016,714
italia,femmine,65 anni e più,2017,639
italia,femmine,65 anni e più,2018,768
italia,femmine,65 anni e più,2019,611
italia,femmine,65 anni e più,2020,1250
italia,femmine,65 anni e più,2021,1333
italia,femmine,65 anni e più,2022,895
italia,femmine,65 anni e più,2023,1431
italia,femmine,65 anni e più,2024,1269
italia,femmine,non disponibile,2015,549
italia,femmine,non disponibile,2016,450
italia,femmine,non disponibile,2017,823
italia,femmine,non disponibile,2018,991
italia,femmine,non disponibile,2019,632
italia,femmine,non disponibile,2020,3943
italia,femmine,non disponibile,2021,4247
italia,femmine,non disponibile,2022,1542
italia,femmine,non disponibile,2023,982
italia,femmine,non disponibile,2024,5160
italia,non indicato,non indicato,2023,36
italia,non indicato,non indicato,2024,18
italia,non indicato,fino a 17 anni,2023,5
italia,non indicato,fino a 17 anni,2024,4
italia,non indicato,18-24 anni,2023,7
italia,non indicato,18-24 anni,2024,5
italia,non indicato,25-34 anni,2021,1
italia,non indicato,25-34 anni,2023,8
italia,non indicato,25-34 anni,2024,5
italia,non indicato,35-44 anni,2023,8
italia,non indicato,35-44 anni,2024,3
italia,non indicato,45-54 anni,2023,9
italia,non indicato,45-54 anni,2024,2
italia,non indicato,55-64 anni,2024,1
italia,non indicato,65 anni e più,2023,3
italia,non indicato,65 anni e più,2024,1
italia,non indicato,non disponibile,2015,1
italia,non indicato,non disponibile,2019,2
italia,non indicato,non disponibile,2020,9
italia,non indicato,non disponibile,2021,11
italia,non indicato,non disponibile,2022,15
italia,non indicato,non disponibile,2023,1327
italia,non indicato,non disponibile,2024,1042
nord ovest,maschi,non indicato,2015,2
nord ovest,maschi,non indicato,2020,1
nord ovest,maschi,non indicato,2021,1
nord ovest,maschi,non indicato,2022,5
nord ovest,maschi,non indicato,2023,10
nord ovest,maschi,non indicato,2024,8
nord ovest,maschi,fino a 17 anni,2016,1
nord ovest,maschi,fino a 17 anni,2017,1
nord ovest,maschi,fino a 17 anni,2018,2
nord ovest,maschi,fino a 17 anni,2019,1
nord ovest,maschi,fino a 17 anni,2020,4
nord ovest,maschi,fino a 17 anni,2021,6
nord ovest,maschi,fino a 17 anni,2022,3
nord ovest,maschi,fino a 17 anni,2023,3
nord ovest,maschi,fino a 17 anni,2024,3
nord ovest,maschi,18-24 anni,2015,4
nord ovest,maschi,18-24 anni,2016,5
nord ovest,maschi,18-24 anni,2017,9
nord ovest,maschi,18-24 anni,2018,6
nord ovest,maschi,18-24 anni,2019,4
nord ovest,maschi,18-24 anni,2020,8
nord ovest,maschi,18-24 anni,2021,14
nord ovest,maschi,18-24 anni,2022,4
nord ovest,maschi,18-24 anni,2023,15
nord ovest,maschi,18-24 anni,2024,4
nord ovest,maschi,25-34 anni,2015,5
nord ovest,maschi,25-34 anni,2016,15
nord ovest,maschi,25-34 anni,2017,5
nord ovest,maschi,25-34 anni,2018,10
nord ovest,maschi,25-34 anni,2019,10
nord ovest,maschi,25-34 anni,2020,13
nord ovest,maschi,25-34 anni,2021,13
nord ovest,maschi,25-34 anni,2022,8
nord ovest,maschi,25-34 anni,2023,19
nord ovest,maschi,25-34 anni,2024,11
nord ovest,maschi,35-44 anni,2015,14
nord ovest,maschi,35-44 anni,2016,19
nord ovest,maschi,35-44 anni,2017,16
nord ovest,maschi,35-44 anni,2018,10
nord ovest,maschi,35-44 anni,2019,17
nord ovest,maschi,35-44 anni,2020,19
nord ovest,maschi,35-44 anni,2021,10
nord ovest,maschi,35-44 anni,2022,12
nord ovest,maschi,35-44 anni,2023,16
nord ovest,maschi,35-44 anni,2024,11
nord ovest,maschi,45-54 anni,2015,32
nord ovest,maschi,45-54 anni,2016,13
nord ovest,maschi,45-54 anni,2017,11
nord ovest,maschi,45-54 anni,2018,13
nord ovest,maschi,45-54 anni,2019,7
nord ovest,maschi,45-54 anni,2020,15
nord ovest,maschi,45-54 anni,2021,8
nord ovest,maschi,45-54 anni,2022,6
nord ovest,maschi,45-54 anni,2023,10
nord ovest,maschi,45-54 anni,2024,10
nord ovest,maschi,55-64 anni,2015,2
nord ovest,maschi,55-64 anni,2016,5
nord ovest,maschi,55-64 anni,2017,8
nord ovest,maschi,55-64 anni,2018,6
nord ovest,maschi,55-64 anni,2019,7
nord ovest,maschi,55-64 anni,2020,9
nord ovest,maschi,55-64 anni,2021,8
nord ovest,maschi,55-64 anni,2022,2
nord ovest,maschi,55-64 anni,2023,11
nord ovest,maschi,55-64 anni,2024,2
nord ovest,maschi,65 anni e più,2015,11
nord ovest,maschi,65 anni e più,2016,3
nord ovest,maschi,65 anni e più,2017,10
