territorio,sesso,motivo_chiamata,periodo,numero_vittime
italia,maschi,richiesta di aiuto vittima di stalking,2015,97
italia,maschi,richiesta di aiuto vittima di stalking,2016,111
italia,maschi,richiesta di aiuto vittima di stalking,2017,91
italia,maschi,richiesta di aiuto vittima di stalking,2018,61
italia,maschi,richiesta di aiuto vittima di stalking,2019,51
italia,maschi,richiesta di aiuto vittima di stalking,2020,118
italia,maschi,richiesta di aiuto vittima di stalking,2021,140
italia,maschi,richiesta di aiuto vittima di stalking,2022,79
italia,maschi,richiesta di aiuto vittima di stalking,2023,108
italia,maschi,richiesta di aiuto vittima di stalking,2024,119
italia,maschi,richiesta di aiuto vittima di violenza,2015,154
italia,maschi,richiesta di aiuto vittima di violenza,2016,122
italia,maschi,richiesta di aiuto vittima di violenza,2017,134
italia,maschi,richiesta di aiuto vittima di violenza,2018,148
italia,maschi,richiesta di aiuto vittima di violenza,2019,128
italia,maschi,richiesta di aiuto vittima di violenza,2020,342
italia,maschi,richiesta di aiuto vittima di violenza,2021,314
italia,maschi,richiesta di aiuto vittima di violenza,2022,134
italia,maschi,richiesta di aiuto vittima di violenza,2023,245
italia,maschi,richiesta di aiuto vittima di violenza,2024,234
italia,maschi,richiesta di aiuto per discriminazione,2016,1
italia,maschi,richiesta di aiuto per discriminazione,2020,6
italia,maschi,richiesta di aiuto per discriminazione,2021,5
italia,maschi,richiesta di aiuto per discriminazione,2022,3
italia,maschi,segnalazione di un caso di violenza,2015,44
italia,maschi,segnalazione di un caso di violenza,2016,55
italia,maschi,segnalazione di un caso di violenza,2017,50
italia,maschi,segnalazione di un caso di violenza,2018,42
italia,maschi,segnalazione di un caso di violenza,2019,27
italia,maschi,segnalazione di un caso di violenza,2020,101
italia,maschi,segnalazione di un caso di violenza,2021,80
italia,maschi,segnalazione di un caso di violenza,2022,44
italia,maschi,segnalazione di un caso di violenza,2023,72
italia,maschi,segnalazione di un caso di violenza,2024,80
italia,maschi,emergenza,2015,16
italia,maschi,emergenza,2016,6
italia,maschi,emergenza,2017,11
italia,maschi,emergenza,2018,10
italia,maschi,emergenza,2019,12
italia,maschi,emergenza,2020,4
italia,maschi,emergenza,2021,1
italia,maschi,emergenza,2022,2
italia,femmine,richiesta di aiuto vittima di stalking,2015,924
italia,femmine,richiesta di aiuto vittima di stalking,2016,875
italia,femmine,richiesta di aiuto vittima di stalking,2017,827
italia,femmine,richiesta di aiuto vittima di stalking,2018,865
italia,femmine,richiesta di aiuto vittima di stalking,2019,846
italia,femmine,richiesta di aiuto vittima di stalking,2020,1224
italia,femmine,richiesta di aiuto vittima di stalking,2021,1372
italia,femmine,richiesta di aiuto vittima di stalking,2022,1056
italia,femmine,richiesta di aiuto vittima di stalking,2023,1380
italia,femmine,richiesta di aiuto vittima di stalking,2024,1872
italia,femmine,richiesta di aiuto vittima di violenza,2015,5177
italia,femmine,richiesta di aiuto vittima di violenza,2016,5312
italia,femmine,richiesta di aiuto vittima di violenza,2017,5347
italia,femmine,richiesta di aiuto vittima di violenza,2018,6906
italia,femmine,richiesta di aiuto vittima di violenza,2019,6355
italia,femmine,richiesta di aiuto vittima di violenza,2020,11310
italia,femmine,richiesta di aiuto vittima di violenza,2021,11481
italia,femmine,richiesta di aiuto vittima di violenza,2022,8993
italia,femmine,richiesta di aiuto vittima di violenza,2023,11013
italia,femmine,richiesta di aiuto vittima di violenza,2024,12435
italia,femmine,richiesta di aiuto per discriminazione,2020,3
italia,femmine,richiesta di aiuto per discriminazione,2021,6
italia,femmine,richiesta di aiuto per discriminazione,2022,1
italia,femmine,segnalazione di un caso di violenza,2015,1506
italia,femmine,segnalazione di un caso di violenza,2016,1526
italia,femmine,segnalazione di un caso di violenza,2017,1455
italia,femmine,segnalazione di un caso di violenza,2018,1373
italia,femmine,segnalazione di un caso di violenza,2019,1066
italia,femmine,segnalazione di un caso di violenza,2020,2472
italia,femmine,segnalazione di un caso di violenza,2021,2799
italia,femmine,segnalazione di un caso di violenza,2022,1565
italia,femmine,segnalazione di un caso di violenza,2023,2062
italia,femmine,segnalazione di un caso di violenza,2024,1810
italia,femmine,emergenza,2015,163
italia,femmine,emergenza,2016,117
italia,femmine,emergenza,2017,170
italia,femmine,emergenza,2018,197
italia,femmine,emergenza,2019,160
italia,femmine,emergenza,2020,119
italia,femmine,emergenza,2021,62
italia,femmine,emergenza,2022,17
italia,non indicato,richiesta di aiuto vittima di stalking,2023,108
italia,non indicato,richiesta di aiuto vittima di stalking,2024,124
italia,non indicato,richiesta di aiuto vittima di violenza,2023,1048
italia,non indicato,richiesta di aiuto vittima di violenza,2024,826
italia,non indicato,richiesta di aiuto per discriminazione,2021,1
italia,non indicato,segnalazione di un caso di violenza,2023,164
italia,non indicato,segnalazione di un caso di violenza,2024,90
italia,non indicato,emergenza,2015,1
italia,non indicato,emergenza,2019,2
italia,non indicato,emergenza,2020,9
italia,non indicato,emergenza,2021,11
italia,non indicato,emergenza,2022,15
italia,non indicato,emergenza,2023,83
italia,non indicato,emergenza,2024,41
nord ovest,maschi,richiesta di aiuto vittima di stalking,2015,32
nord ovest,maschi,richiesta di aiuto vittima di stalking,2016,28
nord ovest,maschi,richiesta di aiuto vittima di stalking,2017,17
nord ovest,maschi,richiesta di aiuto vittima di stalking,2018,16
nord ovest,maschi,richiesta di aiuto vittima di stalking,2019,12
nord ovest,maschi,richiesta di aiuto vittima di stalking,2020,20
nord ovest,maschi,richiesta di aiuto vittima di stalking,2021,26
nord ovest,maschi,richiesta di aiuto vittima di stalking,2022,15
nord ovest,maschi,richiesta di aiuto vittima di stalking,2023,22
nord ovest,maschi,richiesta di aiuto vittima di stalking,2024,26
nord ovest,maschi,richiesta di aiuto vittima di violenza,2015,29
nord ovest,maschi,richiesta di aiuto vittima di violenza,2016,26
