territorio,sesso,stato_civile,periodo,numero_vittime
italia,maschi,single,2015,130
italia,maschi,single,2016,141
italia,maschi,single,2017,129
italia,maschi,single,2018,109
italia,maschi,single,2019,93
italia,maschi,single,2020,250
italia,maschi,single,2021,263
italia,maschi,single,2022,141
italia,maschi,single,2023,208
italia,maschi,single,2024,243
italia,maschi,separat,2015,40
italia,maschi,separat,2016,24
italia,maschi,separat,2017,30
italia,maschi,separat,2018,18
italia,maschi,separat,2019,10
italia,maschi,separat,2020,28
italia,maschi,separat,2021,25
italia,maschi,separat,2022,14
italia,maschi,separat,2023,28
italia,maschi,separat,2024,27
italia,maschi,coniugat,2015,90
italia,maschi,coniugat,2016,98
italia,maschi,coniugat,2017,66
italia,maschi,coniugat,2018,93
italia,maschi,coniugat,2019,74
italia,maschi,coniugat,2020,145
italia,maschi,coniugat,2021,103
italia,maschi,coniugat,2022,44
italia,maschi,coniugat,2023,115
italia,maschi,coniugat,2024,112
italia,maschi,divorziat,2015,6
italia,maschi,divorziat,2016,6
italia,maschi,divorziat,2017,12
italia,maschi,divorziat,2018,9
italia,maschi,divorziat,2019,10
italia,maschi,divorziat,2020,13
italia,maschi,divorziat,2021,8
italia,maschi,divorziat,2022,7
italia,maschi,divorziat,2023,7
italia,maschi,divorziat,2024,13
italia,maschi,vedov,2015,10
italia,maschi,vedov,2016,5
italia,maschi,vedov,2017,7
italia,maschi,vedov,2018,8
italia,maschi,vedov,2019,4
italia,maschi,vedov,2020,11
italia,maschi,vedov,2021,13
italia,maschi,vedov,2022,4
italia,maschi,vedov,2023,8
italia,maschi,vedov,2024,6
italia,maschi,non indicato,2015,2
italia,maschi,non indicato,2016,7
italia,maschi,non indicato,2017,15
italia,maschi,non indicato,2018,3
italia,maschi,non indicato,2019,1
italia,maschi,non indicato,2020,83
italia,maschi,non indicato,2021,74
italia,maschi,non indicato,2022,26
italia,maschi,non indicato,2023,58
italia,maschi,non indicato,2024,32
italia,maschi,non disponibile,2015,33
italia,maschi,non disponibile,2016,14
italia,maschi,non disponibile,2017,27
italia,maschi,non disponibile,2018,21
italia,maschi,non disponibile,2019,26
italia,maschi,non disponibile,2020,41
italia,maschi,non disponibile,2021,54
italia,maschi,non disponibile,2022,26
italia,femmine,single,2015,2235
italia,femmine,single,2016,2364
italia,femmine,single,2017,2449
italia,femmine,single,2018,2918
italia,femmine,single,2019,2977
italia,femmine,single,2020,5318
italia,femmine,single,2021,6157
italia,femmine,single,2022,4630
italia,femmine,single,2023,6261
italia,femmine,single,2024,7394
italia,femmine,separat,2015,824
italia,femmine,separat,2016,849
italia,femmine,separat,2017,822
italia,femmine,separat,2018,926
italia,femmine,separat,2019,843
italia,femmine,separat,2020,1217
italia,femmine,separat,2021,1174
italia,femmine,separat,2022,923
italia,femmine,separat,2023,1218
italia,femmine,separat,2024,1356
italia,femmine,coniugat,2015,3674
italia,femmine,coniugat,2016,3648
italia,femmine,coniugat,2017,3457
italia,femmine,coniugat,2018,4254
italia,femmine,coniugat,2019,3496
italia,femmine,coniugat,2020,5908
italia,femmine,coniugat,2021,5428
italia,femmine,coniugat,2022,3926
italia,femmine,coniugat,2023,4906
italia,femmine,coniugat,2024,5590
italia,femmine,divorziat,2015,307
italia,femmine,divorziat,2016,337
italia,femmine,divorziat,2017,396
italia,femmine,divorziat,2018,459
italia,femmine,divorziat,2019,404
italia,femmine,divorziat,2020,481
italia,femmine,divorziat,2021,417
italia,femmine,divorziat,2022,394
italia,femmine,divorziat,2023,564
