territorio,sesso,stato_denuncia,periodo,numero_vittime
italia,maschi,denuncia,2015,37
italia,maschi,denuncia,2016,38
italia,maschi,denuncia,2017,34
italia,maschi,denuncia,2018,30
italia,maschi,denuncia,2019,19
italia,maschi,denuncia,2020,43
italia,maschi,denuncia,2021,69
italia,maschi,denuncia,2022,22
italia,maschi,denuncia,2023,47
italia,maschi,denuncia,2024,44
italia,maschi,ritira la denuncia,2015,3
italia,maschi,ritira la denuncia,2016,11
italia,maschi,ritira la denuncia,2017,3
italia,maschi,ritira la denuncia,2018,4
italia,maschi,ritira la denuncia,2019,3
italia,maschi,ritira la denuncia,2020,9
italia,maschi,ritira la denuncia,2021,7
italia,maschi,ritira la denuncia,2022,1
italia,maschi,ritira la denuncia,2023,4
italia,maschi,ritira la denuncia,2024,7
italia,maschi,non denuncia,2015,210
italia,maschi,non denuncia,2016,211
italia,maschi,non denuncia,2017,183
italia,maschi,non denuncia,2018,179
italia,maschi,non denuncia,2019,160
italia,maschi,non denuncia,2020,303
italia,maschi,non denuncia,2021,288
italia,maschi,non denuncia,2022,182
italia,maschi,non denuncia,2023,312
italia,maschi,non denuncia,2024,331
italia,maschi,non risponde,2015,1
italia,maschi,non risponde,2016,2
italia,maschi,non risponde,2017,2
italia,maschi,non risponde,2018,1
italia,maschi,non risponde,2019,2
italia,maschi,non risponde,2020,4
italia,maschi,non risponde,2021,5
italia,maschi,non risponde,2022,2
italia,maschi,non risponde,2023,55
italia,maschi,non risponde,2024,36
italia,maschi,non disponibile,2015,60
italia,maschi,non disponibile,2016,33
italia,maschi,non disponibile,2017,64
italia,maschi,non disponibile,2018,47
italia,maschi,non disponibile,2019,34
italia,maschi,non disponibile,2020,212
italia,maschi,non disponibile,2021,171
italia,maschi,non disponibile,2022,55
italia,maschi,non disponibile,2023,7
italia,maschi,non disponibile,2024,15
italia,femmine,denuncia,2015,1098
italia,femmine,denuncia,2016,1177
italia,femmine,denuncia,2017,1150
italia,femmine,denuncia,2018,1333
italia,femmine,denuncia,2019,1291
italia,femmine,denuncia,2020,1610
italia,femmine,denuncia,2021,2115
italia,femmine,denuncia,2022,1500
italia,femmine,denuncia,2023,1970
italia,femmine,denuncia,2024,1992
italia,femmine,ritira la denuncia,2015,293
italia,femmine,ritira la denuncia,2016,341
italia,femmine,ritira la denuncia,2017,256
italia,femmine,ritira la denuncia,2018,286
italia,femmine,ritira la denuncia,2019,279
italia,femmine,ritira la denuncia,2020,288
italia,femmine,ritira la denuncia,2021,376
italia,femmine,ritira la denuncia,2022,318
italia,femmine,ritira la denuncia,2023,281
italia,femmine,ritira la denuncia,2024,465
italia,femmine,non denuncia,2015,5710
italia,femmine,non denuncia,2016,5728
italia,femmine,non denuncia,2017,5535
italia,femmine,non denuncia,2018,6697
italia,femmine,non denuncia,2019,6081
italia,femmine,non denuncia,2020,8958
italia,femmine,non denuncia,2021,9907
italia,femmine,non denuncia,2022,8056
italia,femmine,non denuncia,2023,10322
italia,femmine,non denuncia,2024,12319
italia,femmine,non risponde,2015,47
italia,femmine,non risponde,2016,39
italia,femmine,non risponde,2017,45
italia,femmine,non risponde,2018,35
italia,femmine,non risponde,2019,27
italia,femmine,non risponde,2020,121
italia,femmine,non risponde,2021,221
italia,femmine,non risponde,2022,206
italia,femmine,non risponde,2023,1535
italia,femmine,non risponde,2024,926
italia,femmine,non disponibile,2015,622
italia,femmine,non disponibile,2016,545
italia,femmine,non disponibile,2017,813
italia,femmine,non disponibile,2018,990
italia,femmine,non disponibile,2019,749
italia,femmine,non disponibile,2020,4151
italia,femmine,non disponibile,2021,3101
italia,femmine,non disponibile,2022,1552
italia,femmine,non disponibile,2023,347
italia,femmine,non disponibile,2024,415
italia,non indicato,denuncia,2023,20
italia,non indicato,denuncia,2024,6
italia,non indicato,ritira la denuncia,2023,1
italia,non indicato,non denuncia,2023,29
italia,non indicato,non denuncia,2024,31
italia,non indicato,non risponde,2023,57
italia,non indicato,non risponde,2024,23
italia,non indicato,non disponibile,2015,1
italia,non indicato,non disponibile,2019,2
italia,non indicato,non disponibile,2020,9
italia,non indicato,non disponibile,2021,12
italia,non indicato,non disponibile,2022,15
italia,non indicato,non disponibile,2023,1296
italia,non indicato,non disponibile,2024,1021
nord ovest,maschi,denuncia,2015,5
nord ovest,maschi,denuncia,2016,8
nord ovest,maschi,denuncia,2017,7
nord ovest,maschi,denuncia,2018,4
nord ovest,maschi,denuncia,2019,5
nord ovest,maschi,denuncia,2020,10
nord ovest,maschi,denuncia,2021,15
nord ovest,maschi,denuncia,2022,2
nord ovest,maschi,denuncia,2023,10
nord ovest,maschi,denuncia,2024,9
nord ovest,maschi,ritira la denuncia,2015,1
nord ovest,maschi,ritira la denuncia,2016,3
nord ovest,maschi,ritira la denuncia,2018,1
nord ovest,maschi,ritira la denuncia,2019,2
nord ovest,maschi,ritira la denuncia,2020,2
nord ovest,maschi,ritira la denuncia,2021,2
nord ovest,maschi,ritira la denuncia,2022,1
nord ovest,maschi,ritira la denuncia,2023,1
nord ovest,maschi,ritira la denuncia,2024,1
nord ovest,maschi,non denuncia,2015,59
nord ovest,maschi,non denuncia,2016,48
nord ovest,maschi,non denuncia,2017,50
nord ovest,maschi,non denuncia,2018,47
nord ovest,maschi,non denuncia,2019,42
nord ovest,maschi,non denuncia,2020,66
nord ovest,maschi,non denuncia,2021,59
nord ovest,maschi,non denuncia,2022,37
nord ovest,maschi,non denuncia,2023,76
nord ovest,maschi,non denuncia,2024,67
nord ovest,maschi,non risponde,2017,1
nord ovest,maschi,non risponde,2018,1
nord ovest,maschi,non risponde,2022,1
nord ovest,maschi,non risponde,2023,9
nord ovest,maschi,non risponde,2024,10
