territorio,sesso,tipo_violenza,periodo,numero_vittime
italia,maschi,violenza fisica,2015,67
italia,maschi,violenza fisica,2016,80
italia,maschi,violenza fisica,2017,66
italia,maschi,violenza fisica,2018,82
italia,maschi,violenza fisica,2019,62
italia,maschi,violenza fisica,2020,189
italia,maschi,violenza fisica,2021,158
italia,maschi,violenza fisica,2022,80
italia,maschi,violenza fisica,2023,146
italia,maschi,violenza fisica,2024,162
italia,maschi,violenza sessuale,2015,23
italia,maschi,violenza sessuale,2016,29
italia,maschi,violenza sessuale,2017,45
italia,maschi,violenza sessuale,2018,25
italia,maschi,violenza sessuale,2019,25
italia,maschi,violenza sessuale,2020,94
italia,maschi,violenza sessuale,2021,116
italia,maschi,violenza sessuale,2022,42
italia,maschi,violenza sessuale,2023,24
italia,maschi,violenza sessuale,2024,14
italia,maschi,minacce,2015,25
italia,maschi,minacce,2016,25
italia,maschi,minacce,2017,19
italia,maschi,minacce,2018,13
italia,maschi,minacce,2019,12
italia,maschi,minacce,2020,26
italia,maschi,minacce,2021,32
italia,maschi,minacce,2022,21
italia,maschi,minacce,2023,5
italia,maschi,minacce,2024,8
italia,maschi,mobbing,2015,3
italia,maschi,mobbing,2016,1
italia,maschi,mobbing,2017,4
italia,maschi,mobbing,2018,3
italia,maschi,mobbing,2019,1
italia,maschi,mobbing,2020,4
italia,maschi,mobbing,2021,5
italia,maschi,mobbing,2022,1
italia,maschi,diffusione illecita di immagini o di video sessualmente espliciti,2023,7
italia,maschi,diffusione illecita di immagini o di video sessualmente espliciti,2024,5
italia,maschi,violenza psicologica,2015,134
italia,maschi,violenza psicologica,2016,128
italia,maschi,violenza psicologica,2017,107
italia,maschi,violenza psicologica,2018,107
italia,maschi,violenza psicologica,2019,80
italia,maschi,violenza psicologica,2020,182
italia,maschi,violenza psicologica,2021,148
italia,maschi,violenza psicologica,2022,74
italia,maschi,violenza psicologica,2023,140
italia,maschi,violenza psicologica,2024,154
italia,maschi,violenza economica,2015,1
italia,maschi,violenza economica,2016,4
italia,maschi,violenza economica,2017,2
italia,maschi,violenza economica,2018,1
italia,maschi,violenza economica,2019,5
italia,maschi,violenza economica,2020,5
italia,maschi,violenza economica,2021,9
italia,maschi,violenza economica,2022,2
italia,maschi,violenza economica,2023,7
italia,maschi,violenza economica,2024,2
italia,maschi,atti persecutori/stalking,2023,82
italia,maschi,atti persecutori/stalking,2024,76
italia,maschi,violenza digitale,2023,1
italia,maschi,altro,2023,5
italia,maschi,altro,2024,1
italia,maschi,non risponde,2015,20
italia,maschi,non risponde,2016,10
italia,maschi,non risponde,2017,11
italia,maschi,non risponde,2018,7
italia,maschi,non risponde,2019,6
italia,maschi,non risponde,2020,27
italia,maschi,non risponde,2021,8
italia,maschi,non risponde,2022,14
italia,maschi,non risponde,2023,1
italia,maschi,non risponde,2024,4
italia,maschi,non disponibile,2015,38
italia,maschi,non disponibile,2016,18
italia,maschi,non disponibile,2017,32
italia,maschi,non disponibile,2018,23
italia,maschi,non disponibile,2019,27
italia,maschi,non disponibile,2020,44
italia,maschi,non disponibile,2021,64
italia,maschi,non disponibile,2022,28
italia,maschi,non disponibile,2023,7
italia,maschi,non disponibile,2024,7
italia,femmine,violenza fisica,2015,3693
italia,femmine,violenza fisica,2016,3727
italia,femmine,violenza fisica,2017,3553
italia,femmine,violenza fisica,2018,4166
italia,femmine,violenza fisica,2019,3698
italia,femmine,violenza fisica,2020,7250
italia,femmine,violenza fisica,2021,6949
italia,femmine,violenza fisica,2022,5024
italia,femmine,violenza fisica,2023,6662
italia,femmine,violenza fisica,2024,7126
italia,femmine,violenza sessuale,2015,258
italia,femmine,violenza sessuale,2016,327
italia,femmine,violenza sessuale,2017,493
italia,femmine,violenza sessuale,2018,412
italia,femmine,violenza sessuale,2019,479
italia,femmine,violenza sessuale,2020,1040
italia,femmine,violenza sessuale,2021,1406
italia,femmine,violenza sessuale,2022,857
italia,femmine,violenza sessuale,2023,673
italia,femmine,violenza sessuale,2024,598
italia,femmine,minacce,2015,281
italia,femmine,minacce,2016,325
italia,femmine,minacce,2017,337
italia,femmine,minacce,2018,362
italia,femmine,minacce,2019,311
italia,femmine,minacce,2020,482
italia,femmine,minacce,2021,755
italia,femmine,minacce,2022,610
italia,femmine,minacce,2023,119
italia,femmine,minacce,2024,162
italia,femmine,mobbing,2015,24
italia,femmine,mobbing,2016,19
italia,femmine,mobbing,2017,29
italia,femmine,mobbing,2018,28
italia,femmine,mobbing,2019,15
italia,femmine,mobbing,2020,59
italia,femmine,mobbing,2021,74
italia,femmine,mobbing,2022,40
italia,femmine,mobbing,2023,22
italia,femmine,mobbing,2024,29
italia,femmine,tratta,2021,4
italia,femmine,tratta,2022,1
italia,femmine,tratta,2023,1
italia,femmine,tratta,2024,5
italia,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2021,1
italia,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2023,30
italia,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2024,32
italia,femmine,sfruttamento della prostituzione,2023,11
italia,femmine,sfruttamento della prostituzione,2024,12
italia,femmine,violenza psicologica,2015,2784
italia,femmine,violenza psicologica,2016,2837
italia,femmine,violenza psicologica,2017,2732
italia,femmine,violenza psicologica,2018,3640
italia,femmine,violenza psicologica,2019,3263
italia,femmine,violenza psicologica,2020,5134
italia,femmine,violenza psicologica,2021,5240
italia,femmine,violenza psicologica,2022,3818
italia,femmine,violenza psicologica,2023,5267
italia,femmine,violenza psicologica,2024,6194
italia,femmine,violenza economica,2015,139
italia,femmine,violenza economica,2016,147
italia,femmine,violenza economica,2017,143
italia,femmine,violenza economica,2018,122
italia,femmine,violenza economica,2019,113
italia,femmine,violenza economica,2020,180
italia,femmine,violenza economica,2021,147
italia,femmine,violenza economica,2022,125
italia,femmine,violenza economica,2023,94
italia,femmine,violenza economica,2024,125
italia,femmine,atti persecutori/stalking,2023,1090
italia,femmine,atti persecutori/stalking,2024,1513
italia,femmine,violenza digitale,2023,44
italia,femmine,violenza digitale,2024,25
italia,femmine,matrimonio forzato,2023,6
italia,femmine,matrimonio forzato,2024,8
italia,femmine,altro,2023,14
italia,femmine,altro,2024,18
italia,femmine,non risponde,2015,141
italia,femmine,non risponde,2016,96
italia,femmine,non risponde,2017,80
italia,femmine,non risponde,2018,68
italia,femmine,non risponde,2019,47
italia,femmine,non risponde,2020,199
italia,femmine,non risponde,2021,155
italia,femmine,non risponde,2022,153
italia,femmine,non risponde,2023,78
italia,femmine,non risponde,2024,19
italia,femmine,non disponibile,2015,450
italia,femmine,non disponibile,2016,352
italia,femmine,non disponibile,2017,432
italia,femmine,non disponibile,2018,543
italia,femmine,non disponibile,2019,501
italia,femmine,non disponibile,2020,784
italia,femmine,non disponibile,2021,989
italia,femmine,non disponibile,2022,1004
italia,femmine,non disponibile,2023,344
italia,femmine,non disponibile,2024,251
italia,non indicato,violenza fisica,2023,68
italia,non indicato,violenza fisica,2024,42
italia,non indicato,violenza sessuale,2023,3
italia,non indicato,violenza sessuale,2024,1
italia,non indicato,minacce,2023,2
italia,non indicato,diffusione illecita di immagini o di video sessualmente espliciti,2024,1
italia,non indicato,violenza psicologica,2023,14
italia,non indicato,violenza psicologica,2024,9
italia,non indicato,atti persecutori/stalking,2023,8
italia,non indicato,atti persecutori/stalking,2024,5
italia,non indicato,altro,2023,1
italia,non indicato,non risponde,2023,11
italia,non indicato,non risponde,2024,6
italia,non indicato,non disponibile,2015,1
italia,non indicato,non disponibile,2019,2
italia,non indicato,non disponibile,2020,9
italia,non indicato,non disponibile,2021,12
italia,non indicato,non disponibile,2022,15
italia,non indicato,non disponibile,2023,1296
italia,non indicato,non disponibile,2024,1017
nord ovest,maschi,violenza fisica,2015,14
nord ovest,maschi,violenza fisica,2016,22
nord ovest,maschi,violenza fisica,2017,25
nord ovest,maschi,violenza fisica,2018,17
nord ovest,maschi,violenza fisica,2019,18
nord ovest,maschi,violenza fisica,2020,29
nord ovest,maschi,violenza fisica,2021,33
nord ovest,maschi,violenza fisica,2022,14
nord ovest,maschi,violenza fisica,2023,32
nord ovest,maschi,violenza fisica,2024,28
nord ovest,maschi,violenza sessuale,2015,3
nord ovest,maschi,violenza sessuale,2016,5
nord ovest,maschi,violenza sessuale,2017,8
nord ovest,maschi,violenza sessuale,2018,7
nord ovest,maschi,violenza sessuale,2019,7
nord ovest,maschi,violenza sessuale,2020,15
