FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NATIONALITY,Nazionalità,KNOWLEDGE_1522,Modalità di conoscenza del 1522,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2015,103,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2016,112,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2017,96,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2018,71,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2019,84,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2020,64,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2021,217,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2022,284,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2023,2924,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,BROCHURE,Manifesti e locandine,2024,17691,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2015,24,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2016,26,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2017,27,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2018,30,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2019,20,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2020,27,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2021,51,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2022,40,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2023,49,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RADIO,Radio,2024,22,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2015,5215,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2016,3607,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2017,2507,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2018,4464,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2019,3010,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2020,4241,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2021,2652,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2022,2386,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2023,4034,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,TV,TV,2024,6133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PRESS,Stampa,2015,172,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PRESS,Stampa,2016,133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PRESS,Stampa,2017,166,
