FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,NATIONALITY,Nazionalità,OUTCOME_CALL,Esito della telefonata,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2015,1337,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2016,1077,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2017,1093,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2018,864,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2019,874,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2020,1197,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2021,875,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2022,667,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2023,1717,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TRANSF_SER,Trasferito servizio,2024,2573,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2015,864,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2016,613,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2017,1026,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2018,1693,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2019,1468,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2020,2206,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2021,3133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2022,3181,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2023,4437,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,NOTRANSF_SER,Non trasferito servizio,2024,5705,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2015,2201,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2016,1690,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2017,2119,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2018,2557,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2019,2342,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2020,3403,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2021,4008,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2022,3848,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2023,6154,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,ALL_VAL,Chiamate valide,2024,8278,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,118_REQUIRED,Richiesto intervento del 118,2019,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,118_REQUIRED,Richiesto intervento del 118,2023,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,118_REQUIRED,Richiesto intervento del 118,2024,26,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2015,15,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2016,6,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2017,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2018,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2019,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2020,4,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2022,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2023,412,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,112_REQUIRED,Richiesto intervento del 112,2024,836,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2015,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2016,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2017,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2018,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2019,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2020,2,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2023,461,
