FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,PURPOSE_CALL,Motivi della chiamata,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2015,101,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2016,136,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2017,109,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2018,68,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2019,65,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2020,127,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2021,145,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2022,85,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2023,114,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WORLD,Mondo,2024,144,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2015,2,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2016,4,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2017,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2020,3,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2022,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2023,2,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,WRL_X_ITA,Paesi esteri,2024,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2015,99,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2016,132,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2017,106,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2018,68,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2019,65,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2020,124,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2021,144,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2022,84,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2023,112,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,M,Maschi,IT,Italia,2024,143,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2015,920,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2016,850,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2017,809,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2018,858,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2019,832,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2020,1215,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2021,1367,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2022,1050,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2023,1414,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2024,1906,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2015,79,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2016,67,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2017,73,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2018,48,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2019,71,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2020,74,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2021,81,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2022,68,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2023,85,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2024,107,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2015,841,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2016,783,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2017,736,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2018,810,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2019,761,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2020,1141,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2021,1286,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2022,982,
