FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPES_USERS,Tipologia di utenza,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2015,2201,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2016,1690,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2017,2119,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2018,2557,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2019,2342,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2020,3403,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2021,4008,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2022,3848,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2023,6154,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,M,Maschi,WORLD,Mondo,2024,8278,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,F,Femmine,WORLD,Mondo,2015,17504,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,F,Femmine,WORLD,Mondo,2016,15944,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,F,Femmine,WORLD,Mondo,2017,15497,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,F,Femmine,WORLD,Mondo,2018,20676,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,ALL_VAL,Chiamate valide,F,Femmine,WORLD,Mondo,2019,18946,,
