Regione,Totale delle donne accolte durante l'anno,quantità donne con figli,quantità donne straniere
Piemonte,85,53,57
Valle d'Aosta/Vallée d'Aoste,26,11,12
Liguria,73,49,44
Lombardia,531,320,388
Trentino-Alto Adige/Südtirol,95,78,62
Bolzano/Bozen,88,71,57
Trento,7,7,5
Veneto,136,97,102
Friuli-Venezia Giulia,107,69,73
Emilia-Romagna,310,240,227
Toscana,87,66,68
Umbria,43,32,23
Marche,92,54,60
Lazio,108,85,82
Abruzzo,26,19,16
Molise,17,8,11
Campania,171,110,62
Puglia,124,62,49
Basilicata,8,4,6
Calabria,42,27,17
Sicilia,213,120,77
Sardegna,74,27,24
Nord-ovest,715,433,501
Nord-est,648,484,464
Centro,330,237,233
Sud,388,230,161
Isole,287,147,101
