FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;5.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;10.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;13.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;70.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;0.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;11.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;20;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;17.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;50.9;
