FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;STRAGR;"'Molto d""'accordo'";2018;7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;SOMAGR;"'Abbastanza d""'accordo'";2018;16.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;SOMDISAG;"'Poco d""'accordo'";2018;22.6;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;STRODIS;"'Per niente d""'accordo'";2018;48.3;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;NOANSW;Non risponde;2018;5.3;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;STRAGR;"'Molto d""'accordo'";2018;14;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;SOMAGR;"'Abbastanza d""'accordo'";2018;27.9;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;SOMDISAG;"'Poco d""'accordo'";2018;24;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;STRODIS;"'Per niente d""'accordo'";2018;26.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;NOANSW;Non risponde;2018;8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;SEWNRAP;Le donne serie non vengono violentate;STRAGR;"'Molto d""'accordo'";2018;2.5;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;SEWNRAP;Le donne serie non vengono violentate;SOMAGR;"'Abbastanza d""'accordo'";2018;4.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;SEWNRAP;Le donne serie non vengono violentate;SOMDISAG;"'Poco d""'accordo'";2018;10.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;SEWNRAP;Le donne serie non vengono violentate;STRODIS;"'Per niente d""'accordo'";2018;76.5;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;SEWNRAP;Le donne serie non vengono violentate;NOANSW;Non risponde;2018;6.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;SEWNRAP;Le donne serie non vengono violentate;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;STRAGR;"'Molto d""'accordo'";2018;0.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;SOMAGR;"'Abbastanza d""'accordo'";2018;1.1;
