FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;EDU_LEV_HIGHEST;Titolo di studio;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;STRAGR;"'Molto d""'accordo'";2018;16.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;SOMAGR;"'Abbastanza d""'accordo'";2018;21.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;SOMDISAG;"'Poco d""'accordo'";2018;18.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;STRODIS;"'Per niente d""'accordo'";2018;27.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;NOANSW;Non risponde;2018;16.9;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WPROVSEX;Le donne possono provocare la violenza sessuale con il loro modo di vestire;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;STRAGR;"'Molto d""'accordo'";2018;15.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;SOMAGR;"'Abbastanza d""'accordo'";2018;23;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;SOMDISAG;"'Poco d""'accordo'";2018;19;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;STRODIS;"'Per niente d""'accordo'";2018;20.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;NOANSW;Non risponde;2018;21.3;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;WABLAVO;Le donne che non vogliono un rapporto sessuale riescono ad evitarlo;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;SEWNRAP;Le donne serie non vengono violentate;STRAGR;"'Molto d""'accordo'";2018;6.8;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;SEWNRAP;Le donne serie non vengono violentate;SOMAGR;"'Abbastanza d""'accordo'";2018;7.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;SEWNRAP;Le donne serie non vengono violentate;SOMDISAG;"'Poco d""'accordo'";2018;9.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;SEWNRAP;Le donne serie non vengono violentate;STRODIS;"'Per niente d""'accordo'";2018;57.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;SEWNRAP;Le donne serie non vengono violentate;NOANSW;Non risponde;2018;19.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;SEWNRAP;Le donne serie non vengono violentate;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;NP;Licenza di scuola elementare, nessun titolo di studio;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;STRAGR;"'Molto d""'accordo'";2018;1.8;
