FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,SEXUAL_ORIENTATION,Orientamento sessuale,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2015,24,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2016,34,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2017,56,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2018,36,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2019,45,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2020,91,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2021,92,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OMOX,Omosessuale,2022,77,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2015,14,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2016,12,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2017,32,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2018,15,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2019,12,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2020,60,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2021,31,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TRANS,Transessuale,2022,25,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,MISSING,Missing,2023,6154,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,MISSING,Missing,2024,8278,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2015,2166,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2016,1648,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2017,2057,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2018,2516,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2019,2290,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2020,3275,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2021,3901,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,OTHER,Altro o non indicato,2022,3755,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2015,2201,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2016,1690,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2017,2119,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2018,2557,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2019,2342,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2020,3403,,
