FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2015,1772,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2016,1363,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2017,1787,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2018,2334,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2019,2184,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2020,2466,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2021,1883,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2022,1585,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2023,419,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,0,No,2024,657,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2015,102,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2016,83,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2017,114,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2018,107,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2019,61,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2020,167,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2021,350,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2022,207,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2023,441,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,1,Si,2024,154,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2015,327,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,2,Non indicato,2016,244,,
