FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2015,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2016,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2017,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2020,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2021,19,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2022,20,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2023,52,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NSP,Non indicato,2024,52,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2015,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2016,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2017,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2018,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2019,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2020,26,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2021,34,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2022,17,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2023,16,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y_UN17,Fino a 17 anni,2024,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2015,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2016,24,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2017,17,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2018,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2019,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2020,49,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2021,50,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2022,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2023,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,Y18-24,18-24 anni,2024,28,,
