FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,PURPOSE_CALL,Motivi della chiamata,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2015,97,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2016,111,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2017,91,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2018,61,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2019,51,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2020,118,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2021,140,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2022,79,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2023,108,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2024,119,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2015,154,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2016,122,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2017,134,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2018,148,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2019,128,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2020,342,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2021,314,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2022,134,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2023,245,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2024,234,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2016,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2020,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2021,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,VICT_DISCR_SEEK,Richiesta di aiuto per discriminazione,2022,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2015,44,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2016,55,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2017,50,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2018,42,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2019,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2020,101,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT_VIOL,Segnalazione di un caso di violenza,2021,80,,
