FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2015,130,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2016,141,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2017,129,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2018,109,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2019,93,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2020,250,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2021,263,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2022,141,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2023,208,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SIN,Celibe/nubile,2024,243,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2015,40,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2016,24,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2017,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2018,18,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2019,10,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEP_FSEP,Separato di fatto/legalmente da matrimonio,2020,28,,
