FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,COMP_REASWITHDRAWAL,Denucia_motivo_ritiro,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2015,37,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2016,38,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2017,34,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2018,30,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2019,19,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2020,43,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2021,69,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2022,22,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2023,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,REPORT,Denuncia,2024,44,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2015,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2016,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2017,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2018,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2019,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2021,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2022,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2023,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WITHDR_COMP,Ritira la denuncia,2024,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2015,210,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2016,211,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2017,183,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2018,179,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2019,160,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2020,303,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2021,288,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2022,182,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2023,312,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NOREPORT,Non denuncia,2024,331,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2016,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2017,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2018,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2020,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2021,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2022,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2023,55,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non risponde,2024,36,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2015,60,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2016,33,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2017,64,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2018,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2019,34,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2020,212,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2021,171,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2022,55,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2023,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2024,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2015,311,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2016,295,,
