FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TYPE_VIOLENCE,Tipo_di_violenza,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2015,67,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2016,80,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2017,66,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2018,82,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2019,62,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2020,189,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2021,158,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2022,80,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2023,146,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHY,Violenza fisica,2024,162,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2015,23,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2016,29,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2017,45,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2018,25,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2019,25,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2020,94,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2021,116,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2022,42,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2023,24,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,SEXVIOL,Violenza sessuale,2024,14,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2015,25,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2016,25,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2017,19,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2018,13,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2019,12,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2020,26,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2021,32,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2022,21,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2023,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,THREATS,Minacce,2024,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,HARASS_WORK,Mobbing,2015,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,HARASS_WORK,Mobbing,2016,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,HARASS_WORK,Mobbing,2017,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,HARASS_WORK,Mobbing,2018,3,,
