region,victims_per_100k_women,contacts_1522_per_100k_women,beds_per_100k_women,women_hosted_per_100k_women,traditional_roles_stereotype_index,sexual_violence_stereotype_index,combined_stereotype_index
lazio,513.65,2376.75,3.91,3.68,6.49,3.7,5.1
piemonte,378.07,1664.18,4.37,3.91,5.1,3.36,4.23
campania,368.42,1738.65,5.68,5.99,14.96,5.67,10.32
abruzzo,364.76,1715.88,5.73,4.03,9.28,4.71,6.99
lombardia,362.59,1533.75,13.16,10.43,5.28,2.98,4.13
marche,344.15,1524.4,7.69,12.2,5.13,4.03,4.58
toscana,342.95,1538.52,8.37,4.64,4.54,3.01,3.78
veneto,335.79,1477.68,7.93,5.53,6.12,5.06,5.59
sardegna,329.4,1684.49,6.42,9.31,6.2,3.21,4.7
puglia,329.15,1483.82,6.6,6.25,10.6,5.69,8.14
liguria,328.88,1548.99,6.55,9.37,5.53,2.11,3.82
umbria,326.33,1433.2,6.85,9.82,8.51,4.17,6.34
emilia romagna,313.11,1448.73,15.86,13.66,4.7,3.41,4.06
sicilia,265.07,1304.07,11.67,8.69,11.61,5.37,8.49
calabria,262.99,1292.77,6.1,4.5,10.33,4.76,7.54
molise,262.9,1186.83,8.28,11.73,7.81,4.45,6.13
basilicata,261.31,1178.7,2.99,2.99,10.54,6.33,8.43
friuli venezia giulia,247.08,1167.93,17.4,17.57,5.19,3.52,4.36
